ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,151.24,3.12,79658106880,522396178,8.867,Industrials,3M Company,8.65641,0.08641226559278037,0.05814959822361774,0.07220549109716504,2026-04-15
AXP,329.06,3.8,225937211392,685783466,48.796,Financial Services,American Express Company,17.56862,0.1449880525618974,0.1481096885314611,0.08079640010415157,2026-04-15
AMGN,348.22,10.08,187714142208,539067675,16.069,Healthcare,Amgen Inc.,22.37111,0.03983217640966408,0.04614611540550102,0.06582605741802772,2026-04-15
AMZN,248.5,0.0,2672431464448,10754251799,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.76633,0.2198297007724368,0.1541488995668535,0.06690346735394892,2026-04-15
AAPL,266.43,1.04,3915968151552,14681140000,5.998,Technology,Apple Inc.,8.50885,0.09716354148915518,0.022486770655961677,0.04586191889949011,2026-04-15
BA,223.93,0.0,175974072320,785844140,6.943,Industrials,Boeing Company (The),4.59024,0.04,0.03100522589542809,0.025356949839173137,2026-04-15
CAT,770.17,6.04,360423817216,465287332,45.817,Industrials,"Caterpillar, Inc.",22.92571,0.21087503942080743,0.0591472279909521,0.06701199005031397,2026-04-15
CVX,184.91,7.12,368322019328,1991898801,94.155,Energy,Chevron Corporation,10.67714,0.01,0.509193645143272,0.052838893859534886,2026-04-15
CSCO,82.36,1.68,325412159488,3949893042,12.085,Technology,"Cisco Systems, Inc.",4.15544,0.08628448491615814,0.1466892247901089,0.0665337245300244,2026-04-15
KO,75.31,2.06,324145774592,4304152877,7.478,Consumer Defensive,Coca-Cola Company (The),3.22613,0.07048073078270245,0.099296235635707,0.058273090785523715,2026-04-15
DIS,103.04,1.5,182729801728,1771519851,61.079,Communication Services,Walt Disney Company (The),6.63702,0.1066291799632968,0.5921456705802846,0.0810639948143266,2026-04-15
GS,899.49,18.0,266926292992,294993942,356.473,Financial Services,"Goldman Sachs Group, Inc. (The)",58.39095,0.11598269937379002,0.3939566024307604,0.08655347837310645,2026-04-15
HD,338.91,9.32,337563746304,996027658,12.864,Consumer Cyclical,"Home Depot, Inc. (The)",15.0579,0.08311517542286762,0.037956978297583766,0.06320778971842811,2026-04-15
HON,232.19,4.76,147127926784,633653119,21.886,Industrials,Honeywell International Inc.,10.52393,0.09004715918863004,0.0942590061966546,0.06309388122028448,2026-04-15
IBM,244.8,6.72,229722554368,938409072,34.845,Technology,International Business Machines,12.36572,0.0825904193205087,0.14234067788336807,0.06837998376487836,2026-04-15
JNJ,238.67,5.36,575170609152,2408613219,33.865,Healthcare,Johnson & Johnson,11.54955,0.08995328822335069,0.1418147682853509,0.06657392717726926,2026-04-15
JPM,305.93,6.0,825103089664,2679500000,126.988,Financial Services,JP Morgan Chase & Co.,21.65478,0.08170390094011593,0.41239010041589236,0.08041543295278791,2026-04-15
MCD,306.26,7.44,217698074624,710827631,-2.519,Consumer Cyclical,McDonald's Corporation,13.24292,0.08458708502354462,,0.06124409670266148,2026-04-15
MRK,117.9,3.4,291495018496,2469879206,21.258,Healthcare,"Merck & Company, Inc.",5.12713,0.75,0.18012209070347623,0.24455759833631807,2026-04-15
MSFT,411.22,3.64,3056342401024,7425629076,52.615,Technology,Microsoft Corporation,16.71578,0.12707214380663068,0.1278323638421008,0.06295184109680452,2026-04-15
NKE,45.44,1.64,67291504640,1199499281,9.517,Consumer Cyclical,"Nike, Inc.",1.50259,0.28120112605567704,0.1696445148365908,0.1049231499084794,2026-04-15
NVDA,198.87,0.04,4833535328256,24300000000,6.472,Technology,NVIDIA Corporation,8.29457,0.3401960559739685,0.03253717813556249,0.10640445483731165,2026-04-15
PG,143.38,4.23,335040839680,2324000685,22.493,Consumer Defensive,Procter & Gamble Company (The),6.95681,0.04493870035260428,0.15602201647307248,0.05642705351538087,2026-04-15
CRM,177.6,1.76,166411206656,923000000,63.662,Technology,"Salesforce, Inc.",13.19728,0.1285242110495497,0.3531013756871968,0.09274359645132535,2026-04-15
SHW,328.84,3.2,81478254592,247362348,18.671,Basic Materials,Sherwin-Williams Company (The),11.79168,0.1330972346603707,0.05668386519366445,0.05953515108588381,2026-04-15
TRV,299.33,4.4,64726487040,212642789,151.237,Financial Services,"The Travelers Companies, Inc.",27.4385,0.03447054321482579,0.49685158195158863,0.07508708717378532,2026-04-15
UNH,314.05,8.84,285055582208,907675839,103.874,Healthcare,UnitedHealth Group Incorporated,17.85117,0.1280269024383276,0.3307562664445164,0.08725724901511966,2026-04-15
VZ,45.03,2.83,189922312192,4180000000,24.77,Communication Services,Verizon Communications Inc.,4.91467,0.06936986613546803,0.5451629079543256,0.11944366070257562,2026-04-15
V,315.91,2.68,609086996480,1681093942,20.034,Financial Services,Visa Inc.,12.86001,0.13083426840259071,0.05529429495074418,0.06371117251545388,2026-04-15
WMT,124.76,0.99,994636988416,7972402501,12.501,Consumer Defensive,Walmart Inc.,2.92002,0.12489982945322287,0.1002003794607703,0.04224066061684961,2026-04-15
