ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,154.55,3.12,81401487360,522396178,8.867,Industrials,3M Company,8.65335,0.08591239231049252,0.056904204831546706,0.07089564742207599,2026-04-17
AOS,64.82,1.42,8963952640,112376652,13.411,Industrials,A.O. Smith Corporation,3.98576,0.08706996908996012,0.16812709086022123,0.07622224649091666,2026-04-17
AAON,93.98,0.4,7691672576,81843712,10.956,Industrials,"AAON, Inc.",1.984,0.492943548387097,0.11657798740287927,0.10138674709566364,2026-04-17
ABT,96.81,2.52,168225079296,1737674869,30.018,Healthcare,Abbott Laboratories,5.47966,0.1070741615355697,0.3100698447338005,0.07995916222368468,2026-04-17
ABBV,208.38,6.92,368574726144,1768762377,-1.85,Healthcare,AbbVie Inc.,14.34274,0.12195159362855357,,0.09783232822636811,2026-04-17
ACHC,27.0,0.0,2489718016,92034218,21.547,Healthcare,"Acadia Healthcare Company, Inc.",1.47341,0.13747700911491023,0.79650035968009,0.07494824954618234,2026-04-17
ACN,197.65,6.52,121640747008,613939268,50.762,Technology,Accenture plc,13.87887,0.07423298870873496,0.25620349996836483,0.08322130321816623,2026-04-17
AYI,292.63,0.74,8972803072,30315168,93.756,Industrials,Acuity Inc.,19.51632,0.09025472015215974,0.3167604223787427,0.0734321281224467,2026-04-17
ADBE,244.45,0.0,99646849024,404200000,28.16,Technology,Adobe Inc.,23.48511,0.12288807674309377,0.11422611062451732,0.10142606669248122,2026-04-17
ADT,7.27,0.22,5962286080,751309236,4.654,Industrials,ADT Inc.,0.89583,0.0715202661219203,0.5864517632042238,0.11195124837060877,2026-04-17
WMS,153.37,0.72,11946845184,77895585,26.394,Industrials,"Advanced Drainage Systems, Inc.",6.11337,0.09743234909714293,0.17209363968686042,0.05405179846549403,2026-04-17
AMD,278.39,0.0,453890113536,1630338779,38.65,Technology,"Advanced Micro Devices, Inc.",6.69952,0.6310959591134888,0.13882786147830953,0.12994732968644118,2026-04-17
ACM,86.61,1.14,11197687808,129288624,17.264,Industrials,AECOM,5.94479,0.11354648355955366,0.19933032988661797,0.08565632586847427,2026-04-17
AES,14.47,0.7,10318146560,713071623,5.705,Utilities,The AES Corporation,2.28689,0.04455833030884748,0.3942639877771808,0.12387552524817524,2026-04-17
AMG,294.98,0.04,8297465344,26684730,109.405,Financial Services,"Affiliated Managers Group, Inc.",33.53245,0.12286904177893354,0.351847553995641,0.11190588412456934,2026-04-17
AFRM,64.5,0.0,21485637632,292409876,10.677,Financial Services,"Affirm Holdings, Inc.",3.13009,0.19956934145663552,0.1453091734825736,0.08358831741484696,2026-04-17
AFL,114.52,2.44,60021522432,515183672,56.855,Financial Services,AFLAC Incorporated,7.23991,0.0653765032990743,0.4880044104969896,0.07070012198757747,2026-04-17
AGCO,118.6,1.16,8587092480,72403814,58.84,Industrials,AGCO Corporation,5.84853,0.39036817798660506,0.4961214084607134,0.13618247811436468,2026-04-17
A,121.87,1.02,34469666816,282602317,24.436,Healthcare,"Agilent Technologies, Inc.",5.96965,0.10260065497977267,0.20034049806964052,0.06486921887428021,2026-04-17
ADC,79.46,3.2,9571060736,120103687,50.87,Real Estate,Agree Realty Corporation,1.91774,0.04248751134147488,0.638348739623963,0.03351995436384228,2026-04-17
AGNC,10.9,1.44,12243307520,1123239319,9.412,Real Estate,AGNC Investment Corp.,1.54816,0.01,0.8634863130864168,0.13948216895804533,2026-04-17
APD,291.81,7.24,64973246464,222656008,69.216,Basic Materials,"Air Products and Chemicals, Inc",13.05488,0.07785670952165002,0.23719544717943308,0.061002919199673156,2026-04-17
ABNB,141.55,0.0,84861206528,423573275,13.62,Consumer Cyclical,"Airbnb, Inc.",4.92782,0.16322836467241086,0.06798239432992852,0.06057081033278611,2026-04-17
AKAM,95.89,0.0,14117217280,147223048,34.395,Technology,"Akamai Technologies, Inc.",6.85655,0.10795079157885534,0.35869227167976264,0.0807611697425811,2026-04-17
ALK,45.4,0.0,5204721664,113310158,35.644,Industrials,"Alaska Air Group, Inc.",0.50969,0.75,0.7759929411187818,0.1032667094568169,2026-04-17
ALB,197.75,1.62,23312132096,117886887,61.999,Basic Materials,Albemarle Corporation,8.15457,0.08065538710195641,0.3135221213149821,0.05270219504190597,2026-04-17
ACI,16.7,0.68,8582349312,506613121,3.603,Consumer Defensive,"Albertsons Companies, Inc.",2.29838,0.0676215421296742,0.21268384781435007,0.1220271604544973,2026-04-17
AA,65.62,0.4,17314664448,263862592,23.253,Basic Materials,Alcoa Corporation,7.33283,0.01,0.35435840354877435,0.0707623454971705,2026-04-17
ARE,48.63,4.08,8427597312,173127082,90.713,Real Estate,Alexandria Real Estate Equities,0.26316,0.01,1.8635058615228244,0.010000000000000002,2026-04-17
ALGN,190.07,0.0,13612295168,71617275,56.739,Healthcare,"Align Technology, Inc.",11.28442,0.09114336403643253,0.29851634247378966,0.0673782617451445,2026-04-17
ALLE,144.32,2.12,12432517120,86145484,24.023,Industrials,Allegion plc,8.80725,0.08095489511482024,0.16645647395110927,0.07122893330616592,2026-04-17
ALGM,40.0,0.0,7411634688,185290870,5.198,Technology,"Allegro MicroSystems, Inc.",0.53033,0.75,0.12995000196372336,0.11292702935627527,2026-04-17
LNT,72.83,2.06,18810275840,258276483,28.522,Utilities,Alliant Energy Corporation,3.42056,0.07639392380195065,0.3916243393125063,0.0639107612285118,2026-04-17
ALSN,128.5,1.16,10682130432,83129419,22.54,Consumer Cyclical,"Allison Transmission Holdings, ",9.208,0.24131190269331015,0.17540855882520645,0.12161639575787764,2026-04-17
ALL,216.16,4.32,56101269504,258227312,110.035,Financial Services,Allstate Corporation (The),26.03703,0.01,0.5064777058903113,0.07878577215526439,2026-04-17
ALLY,45.36,1.2,14020400128,307918244,42.704,Financial Services,Ally Financial Inc.,5.3407,0.19734866216039104,0.9378719987823732,0.15265609491564713,2026-04-17
ALNY,309.66,0.0,41317285888,133427910,5.962,Healthcare,"Alnylam Pharmaceuticals, Inc.",9.24489,0.5270078930090027,0.01925337500571499,0.12403493590677439,2026-04-17
GOOGL,341.68,0.84,4133303091200,5822000000,34.353,Communication Services,Alphabet Inc.,11.53387,0.15711812253822877,0.04838821678134766,0.05912307989491371,2026-04-17
GOOG,339.4,0.84,4105721872384,5438000000,34.353,Communication Services,Alphabet Inc.,11.61154,0.15777924375233598,0.04550030903372596,0.059800298863202817,2026-04-17
MO,64.17,4.24,107285700608,1671313564,-2.092,Consumer Defensive,"Altria Group, Inc.",5.62182,0.03427004066298811,,0.09329336380991593,2026-04-17
AMZN,250.56,0.0,2694585253888,10754251799,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.76347,0.22211459566405223,0.15288154969975082,0.06695814496440133,2026-04-17
AMCR,41.94,2.6,19378196480,462045690,25.184,Consumer Cyclical,Amcor plc,3.94531,0.10875191049625998,0.6004768642411866,0.1265090760894091,2026-04-17
DOX,67.63,2.28,7300626944,107571000,31.821,Technology,Amdocs Limited,7.4646,0.08480025721405027,0.468866142217169,0.1119851613605588,2026-04-17
AMTM,27.58,0.0,6727731712,243935176,18.69,Industrials,"Amentum Holdings, Inc.",2.40762,0.14424618502919895,0.6776650191487303,0.10200213713784556,2026-04-17
AS,37.11,0.0,21591414784,581822024,10.404,Consumer Cyclical,"Amer Sports, Inc.",1.19805,0.2490547139101038,0.28035570611063854,0.07396414090558687,2026-04-17
AEE,112.71,3.0,31181584384,276653219,48.484,Utilities,Ameren Corporation,5.37667,0.08617415612265589,0.43016591154613215,0.06662133433358208,2026-04-17
AAL,12.78,0.0,8438692352,660304573,-5.644,Industrials,"American Airlines Group, Inc.",2.41507,0.01,,0.09762195828306719,2026-04-17
AEP,133.66,3.8,72652693504,543563480,57.571,Utilities,American Electric Power Company,6.3638,0.07886011502561341,0.43072722562387983,0.06522622896997315,2026-04-17
AXP,331.69,3.8,227743006720,685783466,48.796,Financial Services,American Express Company,17.56409,0.14401201542465336,0.14693531313599406,0.08010216575312865,2026-04-17
AFG,131.46,3.52,10950464512,83086295,57.778,Financial Services,"American Financial Group, Inc.",11.08286,0.08520183418359517,0.4383887046297749,0.09359922372498841,2026-04-17
AMH,30.69,1.23,12741652480,363160711,19.183,Real Estate,American Homes 4 Rent,0.62306,0.08037749173434339,0.5467510536838154,0.03510360515152422,2026-04-17
AIG,78.68,1.8,42216513536,534866770,76.441,Financial Services,"American International Group, I",7.78902,0.1346908853745401,0.9684776723853523,0.11773474933951966,2026-04-17
AMT,182.36,6.89,85047246848,466370068,7.833,Real Estate,American Tower Corporation (REI,6.47777,0.07129459675166006,0.04295349794418309,0.05468378990914402,2026-04-17
AWK,131.61,3.31,25700814848,195280114,55.524,Utilities,"American Water Works Company, I",6.0933,0.07946104737990911,0.42188285133612274,0.06294788859391309,2026-04-17
COLD,12.8,0.92,3669263616,285294874,10.125,Real Estate,"Americold Realty Trust, Inc.",0.02,0.75,0.787245317195002,0.030856858513178598,2026-04-17
AMP,456.2,6.4,42383585280,90689669,71.759,Financial Services,"Ameriprise Financial, Inc.",42.39846,0.08951716642538421,0.1535452915268569,0.0949213089220563,2026-04-17
AME,236.26,1.36,54118993920,229065429,46.406,Industrials,"AMETEK, Inc.",8.06093,0.08154890316625973,0.19641921492272263,0.04549624407829776,2026-04-17
AMGN,355.3,10.08,191530729472,539067675,16.069,Healthcare,Amgen Inc.,22.34244,0.042567418777895494,0.04522657274607907,0.06565916690150597,2026-04-17
AMKR,67.37,0.33,16695043072,247811238,18.079,Technology,"Amkor Technology, Inc.",1.72021,0.3329477214991192,0.26835386722157717,0.08186565873008667,2026-04-17
APH,151.06,1.0,185717784576,1229430709,10.935,Technology,Amphenol Corporation,4.4104,0.17774578269544716,0.0723884620614429,0.05914558916267765,2026-04-17
ADI,371.45,4.07,181343436800,488204157,69.207,Technology,"Analog Devices, Inc.",11.45816,0.1393635627360763,0.1863157867177854,0.055520312533867355,2026-04-17
AU,109.15,4.26,55122366464,505014800,16.022,Basic Materials,AngloGold Ashanti PLC,9.47081,0.029071431060278874,0.1467888199408927,0.07894289299645549,2026-04-17
NLY,22.8,2.8,16379222016,718386976,20.211,Real Estate,Annaly Capital Management Inc.,2.95288,0.01,0.8864474245329137,0.1288378909844886,2026-04-17
AM,21.29,0.9,10139895808,473081000,4.16,Energy,Antero Midstream Corporation,1.30052,0.14128194875895805,0.19408650712636594,0.10260905850460456,2026-04-17
AR,36.68,0.0,11316697088,308525000,24.475,Energy,Antero Resources Corporation,4.33017,0.0804887567924586,0.6672573557709774,0.10012001912533838,2026-04-17
AON,331.8,3.28,71315521536,214254496,43.599,Financial Services,Aon plc,18.98688,0.126620592746149,0.13098525496148172,0.07869922829402543,2026-04-17
APA,35.74,1.0,12630531072,353400414,17.262,Energy,APA Corporation,5.01659,0.01,0.48298823792070555,0.0896450226814699,2026-04-17
APG,46.75,0.0,20170571776,431456087,8.194,Industrials,APi Group Corporation,1.28666,0.4801423841574308,0.17527272980355202,0.10986229787770377,2026-04-17
APO,124.62,2.04,72332263424,578247338,37.899,Financial Services,"Apollo Global Management, Inc. ",8.95769,0.1872491680332764,0.3029767744775225,0.11095705057425553,2026-04-17
APPF,156.47,0.0,5631344128,24334816,15.076,Technology,"AppFolio, Inc.",6.55795,0.21347219786671134,0.06514815604889988,0.07927221510393234,2026-04-17
AAPL,270.23,1.04,3971820552192,14681140000,5.998,Technology,Apple Inc.,8.51457,0.10061224465827401,0.022170557950157675,0.04606306030468739,2026-04-17
AIT,291.03,2.04,10977043456,37302440,50.139,Industrials,Applied Industrial Technologies,10.66,0.09045872420262668,0.1703834959437734,0.050204215808549724,2026-04-17
AMAT,396.94,2.12,315015495680,793609867,27.365,Technology,"Applied Materials, Inc.",11.06664,0.2656759413878105,0.06893989123797187,0.07344609563454643,2026-04-17
APP,477.2,0.0,161272135680,307070000,6.31,Communication Services,Applovin Corporation,15.77293,0.31025687681362935,0.01201454728574225,0.0871021413967446,2026-04-17
