ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
AA,70.38,0.4,18570647552,263862592,23.253,Basic Materials,Alcoa Corporation,6.58594,0.01,0.3303921866265356,0.06250695821108676,2026-04-15
AAL,12.17,0.0,8035906560,660304573,-5.644,Industrials,"American Airlines Group, Inc.",2.41507,0.01,,0.10068116538358718,2026-04-15
AAON,92.6,0.4,7578727424,81843712,10.956,Industrials,"AAON, Inc.",1.994,0.48545636910732215,0.11831533956907221,0.10115594394464539,2026-04-15
ACI,16.6,0.68,9118504960,513913121,3.603,Consumer Defensive,"Albertsons Companies, Inc.",2.29046,0.07877456930048976,0.20306278091480032,0.12703853641325835,2026-04-15
ACM,86.47,1.14,11179587584,129288624,17.264,Industrials,AECOM,5.94729,0.11237891543879663,0.1996530541010698,0.08543471982492651,2026-04-15
ADC,78.01,3.2,9396406272,120103687,50.87,Real Estate,Agree Realty Corporation,1.91774,0.04248751134147488,0.6502139627461608,0.034023401179099785,2026-04-15
AEIS,374.32,0.4,14234496000,38027612,36.053,Industrials,"Advanced Energy Industries, Inc",8.71932,0.2330296399260492,0.09631598445326058,0.05762599954365796,2026-04-15
AFG,130.59,3.52,10877993984,83086295,57.778,Financial Services,"American Financial Group, Inc.",11.11333,0.08263409797063526,0.441309303863465,0.09330601324687027,2026-04-15
AGCO,115.27,1.16,8345987584,72403814,58.84,Industrials,AGCO Corporation,5.84602,0.3884352089113621,0.5104537207708361,0.13782275661455545,2026-04-15
AHR,49.48,1.0,9493736448,191870178,17.861,Real Estate,"American Healthcare REIT, Inc.",0.73333,0.33182878103991387,0.3609741294198185,0.06521579064284422,2026-04-15
AIT,284.56,2.04,10733008896,37302440,50.139,Industrials,Applied Industrial Technologies,10.66,0.09045872420262668,0.17425747591218618,0.051061760728606576,2026-04-15
ALGM,37.25,0.0,6902084608,185290870,5.198,Technology,"Allegro MicroSystems, Inc.",0.53033,0.75,0.13954363021624672,0.11723589815826896,2026-04-15
ALK,42.54,0.0,4876847104,113310158,35.644,Industrials,"Alaska Air Group, Inc.",0.50969,0.75,0.8281636035789076,0.10697930068879818,2026-04-15
ALLY,42.24,1.2,13056034816,307918244,42.704,Financial Services,Ally Financial Inc.,5.21399,0.2147108068868564,1.0071465706924783,0.16334581628202038,2026-04-15
ALV,109.16,3.29,8171958272,74862203,34.429,Consumer Cyclical,"Autoliv, Inc.",10.3272,0.14278313579673108,0.31539940627428115,0.12142274560491101,2026-04-15
AM,21.26,0.9,10125606912,473081000,4.16,Energy,Antero Midstream Corporation,1.30052,0.14128194875895805,0.194360395095693,0.1027177587985465,2026-04-15
AMG,301.15,0.04,8471020544,26684730,109.405,Financial Services,"Affiliated Managers Group, Inc.",33.53245,0.12286904177893354,0.3446388626359587,0.11058228678746318,2026-04-15
AMH,30.16,1.23,12521610240,363160711,19.183,Real Estate,American Homes 4 Rent,0.6273,0.08777299537701255,0.5563591092189274,0.03693545946924626,2026-04-15
AMKR,59.72,0.33,14799287296,247811238,18.079,Technology,"Amkor Technology, Inc.",1.72021,0.3329477214991192,0.30272940055788483,0.08833736263692515,2026-04-15
AN,195.81,0.0,6796669952,34325487,66.509,Consumer Cyclical,"AutoNation, Inc.",21.33122,0.11470698816101477,0.3358929933343628,0.10654336989768642,2026-04-15
ANF,91.45,0.0,4193673472,44924473,31.194,Consumer Cyclical,Abercrombie & Fitch Company,10.75095,0.10983122421739466,0.3341638351480122,0.10974674523246264,2026-04-15
APG,44.88,0.0,19363749888,431456087,8.194,Industrials,APi Group Corporation,1.28644,0.4802633624576349,0.1825757509432049,0.11233695867342211,2026-04-15
APPF,154.86,0.0,5573400064,24334816,15.076,Technology,"AppFolio, Inc.",6.55795,0.21347219786671134,0.06582547131072054,0.07978387698524292,2026-04-15
AR,36.34,0.0,11211798528,308525000,24.475,Energy,Antero Resources Corporation,4.32487,0.06304004513430472,0.6735002734968875,0.09444614896695314,2026-04-15
ARMK,43.81,0.48,11514845184,262835999,12.206,Industrials,Aramark,2.22564,0.17590895203177515,0.2786121873572208,0.08581724216804354,2026-04-15
ARW,168.98,0.0,8632540160,51084070,128.935,Technology,"Arrow Electronics, Inc.",13.6275,0.157769216657494,0.7629880016046169,0.10111533167234354,2026-04-15
ASB,27.61,0.94,5199210496,188308952,29.224,Financial Services,Associated Banc-Corp,2.89289,0.1045839973175613,1.0584570133257403,0.11635010040408422,2026-04-15
ASH,55.67,1.66,2547592192,45762391,41.038,Basic Materials,Ashland Inc.,3.90808,0.2148446295879305,0.7371654724627135,0.1258194302008933,2026-04-15
ATI,156.83,0.0,21475721216,136462390,13.275,Industrials,ATI Inc.,4.21986,0.21766361917220012,0.08435284706063116,0.06020109721423644,2026-04-15
ATR,129.65,1.86,8346832384,63772670,41.559,Healthcare,"AptarGroup, Inc.",5.5325,0.1507004066877542,0.31752505269069503,0.07294093492380782,2026-04-15
AVAV,198.42,0.0,10041058304,50605071,85.937,Industrials,"AeroVironment, Inc.",2.88011,0.4068698764977725,0.43310653666800975,0.06493539599001752,2026-04-15
AVNT,37.51,1.09,3440035072,91709812,25.919,Basic Materials,Avient Corporation,3.06445,0.10411003605867286,0.6909890647847442,0.09928576467778527,2026-04-15
AVT,70.22,1.38,5748417536,81862967,60.695,Technology,"Avnet, Inc.",4.54,0.37114537444933915,0.8643548856617015,0.15826601348866054,2026-04-15
AVTR,8.37,0.0,5708808192,676105751,8.24,Healthcare,"Avantor, Inc.",0.78907,0.08321188234250432,0.975879938661635,0.08811046820281965,2026-04-15
AXTA,28.09,0.0,5993673728,213373942,10.993,Basic Materials,Axalta Coating Systems Ltd.,2.60356,0.08131558327828059,0.3913492543726932,0.08658927233491853,2026-04-15
AYI,278.48,0.74,8538927104,30315168,91.607,Industrials,Acuity Inc.,19.51632,0.0929309418988824,0.32522605722621706,0.07661750643423881,2026-04-15
BAH,82.3,2.36,9924919296,120594389,8.481,Industrials,Booz Allen Hamilton Holding Cor,6.0698,0.0346337605851923,0.10304980651290527,0.06985350633973686,2026-04-15
BBWI,17.94,0.8,3672705536,201134265,-6.373,Consumer Cyclical,"Bath & Body Works, Inc.",2.63096,0.08989874418463217,,0.13757382824068498,2026-04-15
BC,77.23,1.76,5028671488,65112927,25.052,Consumer Cyclical,Brunswick Corporation,4.21937,0.2397798723506117,0.3243817081900419,0.11343174559680869,2026-04-15
BCO,108.72,1.02,4475242496,41163012,6.757,Industrials,Brinks Company (The),9.18333,0.14882074367359133,0.06215048063487105,0.10576760570881971,2026-04-15
BDC,127.32,0.2,4957001728,38933406,32.465,Technology,Belden Inc,7.96394,0.11786502660743281,0.25498740874959813,0.07732178406895962,2026-04-15
BHF,62.09,0.0,3550560768,57184099,118.381,Financial Services,"Brighthouse Financial, Inc.",18.342,0.05811798059099349,1.906603284960028,0.1565633477270959,2026-04-15
BILL,39.31,0.0,3937159168,98960440,38.081,Technology,"BILL Holdings, Inc.",2.39056,0.12551034067331512,0.957165396377493,0.07726383245552093,2026-04-15
BIO,295.96,0.0,7991626752,21924404,276.158,Healthcare,"Bio-Rad Laboratories, Inc.",10.2603,0.10601444402210447,0.757617910310534,0.04918538473007522,2026-04-15
BJ,90.7,0.0,11867886592,129676588,16.952,Consumer Defensive,"BJ's Wholesale Club Holdings, I",4.52929,0.08329782372071581,0.18522906355187388,0.05805827460217103,2026-04-15
BKH,76.56,2.81,5822749696,76054727,50.659,Utilities,Black Hills Corporation,4.36,0.06055045871559628,0.6616902007207627,0.07059288542672826,2026-04-15
BLD,387.9,0.0,10917497856,28145137,82.971,Industrials,TopBuild Corp.,18.35249,0.1546683855978126,0.21389792723830145,0.07219533848475768,2026-04-15
BLKB,37.96,0.0,1815785472,45933454,1.848,Technology,"Blackbaud, Inc.",5.194,0.12783981517135157,0.04674837655711787,0.12589404854510267,2026-04-15
BMRN,55.27,0.0,10629711872,192323359,31.654,Healthcare,BioMarin Pharmaceutical Inc.,5.34,0.2610486891385768,0.5727157686956729,0.14216606301656837,2026-04-15
BRBR,15.95,0.0,1888885248,117269523,-4.355,Consumer Defensive,"BellRing Brands, Inc.",1.9065,0.1333805402570154,,0.1185220571930588,2026-04-15
BRKR,39.48,0.2,6009769472,152223137,16.146,Healthcare,Bruker Corporation,2.11645,0.1409719105105247,0.40896656376805535,0.07708279843399518,2026-04-15
BROS,51.72,0.0,8522597888,127292622,5.358,Consumer Cyclical,Dutch Bros Inc.,0.90161,0.3276028438016436,0.08002652215192721,0.060646877186625425,2026-04-15
BRX,30.12,1.19,9241909248,306836287,9.833,Real Estate,Brixmor Property Group Inc.,1.01478,0.08195865113620693,0.3264608133567122,0.05485923708448018,2026-04-15
BSY,34.05,0.28,10325549056,291731567,3.798,Technology,"Bentley Systems, Incorporated",1.37121,0.1481684060063737,0.1073063025953242,0.06702776693418355,2026-04-15
BURL,339.2,0.0,21312028672,62830271,29.154,Consumer Cyclical,"Burlington Stores, Inc.",11.44138,0.17747247272619204,0.08594928943299425,0.06204667709810728,2026-04-15
BWA,52.49,0.68,10867990528,206061488,26.283,Consumer Cyclical,BorgWarner Inc.,5.16963,0.1275468457123623,0.4983362908856595,0.11021857345110708,2026-04-15
BWXT,238.42,1.02,21842114560,91611920,13.48,Industrials,"BWX Technologies, Inc.",4.61463,0.12103678951508567,0.056538879429812866,0.035711644941525456,2026-04-15
BYD,85.98,0.74,6490820096,75304423,34.157,Consumer Cyclical,Boyd Gaming Corporation,7.42154,0.09174510950557435,0.3962786116959418,0.08933835655571257,2026-04-15
CACI,531.68,0.0,11742564352,22085774,187.365,Technology,"CACI International, Inc.",28.34256,0.13319862425977047,0.35240181969325945,0.07280964671347398,2026-04-15
CAR,395.77,0.0,13980449792,35324685,-89.4,Industrials,"Avis Budget Group, Inc.",3.60571,0.75,,0.09191854118230502,2026-04-15
CART,41.29,0.0,9934995456,236710188,10.368,Consumer Cyclical,Maplebear Inc.,2.39305,0.1624830237562942,0.24702691008296723,0.08402056687082268,2026-04-15
CASY,736.83,2.28,27312027648,36959030,104.17,Consumer Cyclical,"Caseys General Stores, Inc.",18.09042,0.09803641927605877,0.14096434745597985,0.03799665790346875,2026-04-15
CAVA,88.44,0.0,10292450304,116377765,6.714,Consumer Cyclical,"CAVA Group, Inc.",0.52158,0.35902450247325435,0.07591586950935644,0.031246931200974007,2026-04-15
