scope,raw_group,year,month,zip_path
year,other_indices,2026,,./data/downloads/zip/raw_other_indices_2026.zip
year,sp500,2025,,./data/downloads/zip/raw_sp500_2025.zip
year,sp500,2026,,./data/downloads/zip/raw_sp500_2026.zip
year,usall,2025,,./data/downloads/zip/raw_usall_2025.zip
year,usall,2026,,./data/downloads/zip/raw_usall_2026.zip
month,other_indices,2026,04,./data/downloads/zip/raw_other_indices_202604.zip
month,sp500,2025,10,./data/downloads/zip/raw_sp500_202510.zip
month,sp500,2025,11,./data/downloads/zip/raw_sp500_202511.zip
month,sp500,2025,12,./data/downloads/zip/raw_sp500_202512.zip
month,sp500,2026,01,./data/downloads/zip/raw_sp500_202601.zip
month,sp500,2026,02,./data/downloads/zip/raw_sp500_202602.zip
month,sp500,2026,03,./data/downloads/zip/raw_sp500_202603.zip
month,sp500,2026,04,./data/downloads/zip/raw_sp500_202604.zip
month,usall,2025,10,./data/downloads/zip/raw_usall_202510.zip
month,usall,2025,11,./data/downloads/zip/raw_usall_202511.zip
month,usall,2025,12,./data/downloads/zip/raw_usall_202512.zip
month,usall,2026,01,./data/downloads/zip/raw_usall_202601.zip
month,usall,2026,02,./data/downloads/zip/raw_usall_202602.zip
month,usall,2026,03,./data/downloads/zip/raw_usall_202603.zip
month,usall,2026,04,./data/downloads/zip/raw_usall_202604.zip
