ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,160.59,2.92,85309431808,531225048,8.712,Industrials,3M Company,8.03797,0.07557380781465972,0.05424995243892833,0.06244483919747479,2025-11-04
AOS,65.15,1.38,9071344640,113372121,13.247,Industrials,A.O. Smith Corporation,3.8003,0.08843512354287819,0.16555875082340604,0.07387690566452176,2025-11-04
ABT,125.8,2.36,218750091264,1738871947,29.303,Healthcare,Abbott Laboratories,5.15485,0.10102136822603969,0.23293322699210503,0.06110157677463357,2025-11-04
ABBV,215.89,6.92,381382262784,1766558253,-0.104,Healthcare,AbbVie Inc.,10.64471,0.33658972390981057,,0.14149535248736594,2025-11-04
ACN,242.9,6.52,150631727104,620138892,50.165,Technology,Accenture plc,13.84018,0.08131252628217256,0.20652533244673857,0.07304532889389453,2025-11-04
ADBE,335.35,0.0,140377505792,418600000,28.024,Technology,Adobe Inc.,20.78939,0.1219482630322486,0.0835664256450162,0.0773047557602663,2025-11-04
AMD,250.05,0.0,405792063488,1622843689,36.785,Technology,"Advanced Micro Devices, Inc.",3.94169,0.6104285217761924,0.1471105782275368,0.10057362157960881,2025-11-04
AES,13.44,0.7,9569945600,712049564,4.732,Utilities,The AES Corporation,2.15179,0.06868235283182833,0.3520833532061039,0.13794255163811708,2025-11-04
AFL,108.81,2.32,58195013632,534831490,50.859,Financial Services,AFLAC Incorporated,6.91018,0.060089606927749895,0.46741108992459873,0.06926289656798545,2025-11-04
A,146.08,0.99,41413742592,283500427,22.462,Healthcare,"Agilent Technologies, Inc.",5.57386,0.07998048031346316,0.15376505943957164,0.04929766571879857,2025-11-04
APD,240.77,7.16,53584240640,222553640,69.815,Basic Materials,"Air Products and Chemicals, Inc",11.99407,0.07419583177353473,0.28996552327740516,0.06629165546574456,2025-11-04
ABNB,122.35,0.0,74907033600,429079558,12.695,Consumer Cyclical,"Airbnb, Inc.",4.23395,0.1292575490971788,0.07271900550617987,0.05367622575922243,2025-11-04
AKAM,71.97,0.0,10319457280,143385528,30.063,Technology,"Akamai Technologies, Inc.",6.71572,0.03741222087877394,0.41771568129055714,0.07229471825781919,2025-11-04
