ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,168.9,2.92,89961152512,531225048,8.712,Industrials,3M Company,8.03797,0.07542700457951446,0.05144479021162676,0.06003383074301563,2025-12-12
AOS,68.72,1.38,9629705216,113372121,13.247,Industrials,A.O. Smith Corporation,3.79741,0.08624562530777569,0.1559591340752211,0.07036113485506201,2025-12-12
ABT,125.46,2.36,218357989376,1738871947,29.303,Healthcare,Abbott Laboratories,5.15449,0.10102842376258359,0.2333515013970972,0.061228962936401676,2025-12-12
ABBV,223.32,6.92,394692329472,1767384632,-1.495,Healthcare,AbbVie Inc.,10.64096,0.3397616380476949,,0.13934941721821137,2025-12-12
ACN,271.56,6.52,169141862400,620138892,50.165,Technology,Accenture plc,13.8109,0.078603856374313,0.18392411598029088,0.06615575641861438,2025-12-12
ADBE,356.43,0.0,151197597696,418600000,27.873,Technology,Adobe Inc.,23.48692,0.12076764428882103,0.07716814273371668,0.08004572897083329,2025-12-12
AMD,210.78,0.0,343158620160,1628041540,37.34,Technology,"Advanced Micro Devices, Inc.",3.96524,0.6244464395597744,0.17715151982851476,0.11319948144626449,2025-12-12
AES,13.83,0.7,9848632320,712120944,5.427,Utilities,The AES Corporation,2.15278,0.07406237516141911,0.39240782247905054,0.13774769546807708,2025-12-12
AFL,110.05,2.44,58858205184,524113917,54.57,Financial Services,AFLAC Incorporated,7.56733,0.01,0.4859287904087306,0.05451081447147918,2025-12-12
A,139.68,1.02,39599337472,283054377,23.815,Healthcare,"Agilent Technologies, Inc.",5.94846,0.10333262726823422,0.1702286052897072,0.05885755558587932,2025-12-12
APD,243.0,7.16,54089797632,222591758,67.501,Basic Materials,"Air Products and Chemicals, Inc",12.91326,0.07237211982102121,0.27778189075473597,0.06837729804234371,2025-12-12
ABNB,128.39,0.0,78604935168,425294120,14.161,Consumer Cyclical,"Airbnb, Inc.",4.12492,0.16918146291322,0.07661847211562603,0.05847237664465775,2025-12-12
AKAM,85.88,0.0,12355145728,143865237,32.914,Technology,"Akamai Technologies, Inc.",7.0357,0.030367980442599807,0.3832557312445809,0.06374695353739257,2025-12-12
ALB,132.74,1.62,15623171072,117697540,65.943,Basic Materials,Albemarle Corporation,0.71848,0.04,0.4967831974988694,0.010000000000000002,2025-12-12
ARE,46.64,4.68,8060560384,172825059,97.683,Real Estate,Alexandria Real Estate Equities,3.44,0.04,2.094404040667875,0.09128993542686492,2025-12-12
ALGN,165.43,0.0,11991418880,71749995,54.934,Healthcare,"Align Technology, Inc.",10.1919,0.07457883220989214,0.3286945660703998,0.06467817436605294,2025-12-12
ALLE,160.83,2.04,13836519424,86031953,22.627,Industrials,Allegion plc,8.18208,0.0868593316124997,0.14068892189422044,0.06410361329328762,2025-12-12
LNT,65.33,2.03,16793318400,257053689,28.426,Utilities,Alliant Energy Corporation,3.21594,0.06669900557846242,0.4351140131728819,0.06412377981920764,2025-12-12
ALL,207.18,4.0,54593032192,261681708,97.344,Financial Services,Allstate Corporation (The),28.56952,0.01,0.4666006477523482,0.08568623137078635,2025-12-12
GOOGL,309.29,0.84,3746158346240,5818000000,32.033,Communication Services,Alphabet Inc.,10.55414,0.05920046540978241,0.0497490967478875,0.04004660358946814,2025-12-12
GOOG,310.52,0.84,3748545691648,5407000000,32.033,Communication Services,Alphabet Inc.,10.53436,0.061012724076261016,0.04620523404207293,0.04024057161985384,2025-12-12
MO,58.75,4.24,98693595136,1678671552,-1.576,Consumer Defensive,"Altria Group, Inc.",5.43789,0.027545610521727992,,0.09560904472848938,2025-12-12
AMZN,226.19,0.0,2418019926016,10690216011,34.587,Consumer Cyclical,"Amazon.com, Inc.",7.05306,0.11512733480219928,0.15291127140612754,0.047234206125919775,2025-12-12
AMCR,8.23,0.52,18997800960,2308359941,5.084,Consumer Cyclical,Amcor plc,0.80646,0.10658929147136864,0.6177400197398425,0.12875590432641737,2025-12-12
AEE,97.27,2.84,26311038976,270494916,47.246,Utilities,Ameren Corporation,5.01828,0.06257522497748247,0.4857201881306658,0.06409146504960239,2025-12-12
AEP,114.13,3.8,61089861632,534094530,56.789,Utilities,American Electric Power Company,5.9113,0.06859404868641406,0.4964930915522359,0.06769136441718804,2025-12-12
AXP,382.56,3.16,266216701952,688851653,47.049,Financial Services,American Express Company,15.47024,0.12959915295431723,0.12174210402411423,0.06306605042905675,2025-12-12
AIG,84.9,1.8,47034925056,539576054,75.456,Financial Services,"American International Group, I",6.94259,0.1320688676704227,0.8656174253950533,0.1045438216617488,2025-12-12
AMT,180.7,6.8,84612997120,468146623,8.441,Real Estate,American Tower Corporation (REI,5.10804,0.3666533543198567,0.046702348093623475,0.11442466563183695,2025-12-12
AWK,131.55,3.31,25668505600,195123565,55.898,Utilities,"American Water Works Company, I",5.72577,0.06396868892742802,0.42491827168816565,0.05630485765791313,2025-12-12
AMP,493.63,6.4,46535274496,92905713,69.313,Financial Services,"Ameriprise Financial, Inc.",38.47615,0.07891018202185007,0.13838048136414285,0.08170789528865074,2025-12-12
AME,201.74,1.24,46592651264,230203873,45.728,Industrials,"AMETEK, Inc.",7.34576,0.08372585001415778,0.22593182441793233,0.04827927155330991,2025-12-12
