ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,174.61,3.12,91967086592,526700000,8.867,Industrials,3M Company,8.66945,0.08001084267168035,0.05078174239354728,0.06319329751873604,2026-02-12
AOS,79.62,1.4,11010643968,112426758,13.411,Industrials,A.O. Smith Corporation,4.02818,0.081791280429375,0.13693615522579394,0.06435021058531232,2026-02-12
ABT,111.47,2.52,194008973312,1738871947,29.303,Healthcare,Abbott Laboratories,5.67738,0.09961108821322506,0.2626381851987737,0.07149204916316443,2026-02-12
ABBV,227.5,6.65,402080006144,1767384632,-1.495,Healthcare,AbbVie Inc.,14.56618,0.09763026407747266,,0.08455507131792961,2026-02-12
ACN,222.05,6.52,137701834752,615435159,50.162,Technology,Accenture plc,13.81846,0.07761067441668601,0.2241906108321452,0.07700256944830286,2026-02-12
ADBE,262.5,0.0,109882499072,410500000,28.143,Technology,Adobe Inc.,23.46343,0.12429725747684817,0.10513686526577945,0.0975891826429055,2026-02-12
AMD,205.94,0.0,335766814720,1630410843,38.65,Technology,"Advanced Micro Devices, Inc.",6.69108,0.577187838136743,0.18767601894933925,0.13977197834152022,2026-02-12
AES,16.2,0.7,11536360448,712120944,5.427,Utilities,The AES Corporation,2.17417,0.06726704903480396,0.3349999664545849,0.1214375130357791,2026-02-12
AFL,115.88,2.44,60734320640,518690000,56.855,Financial Services,AFLAC Incorporated,7.36416,0.05422207013427194,0.48555939441228596,0.067344641195909,2026-02-12
A,124.88,1.02,35403337728,282839637,23.815,Healthcare,"Agilent Technologies, Inc.",5.93426,0.10372818177835152,0.19025963051578978,0.06377736222471656,2026-02-12
APD,291.5,7.24,64904224768,222656008,69.216,Basic Materials,"Air Products and Chemicals, Inc",13.02992,0.07633277871237887,0.23744769011286804,0.06056764783205504,2026-02-12
ABNB,115.96,0.0,70994845696,425294120,14.161,Consumer Cyclical,"Airbnb, Inc.",4.12937,0.17641431985993017,0.08483137014071045,0.06412426649764613,2026-02-12
AKAM,104.61,0.0,15049742336,143865237,32.914,Technology,"Akamai Technologies, Inc.",7.04124,0.042047991546943386,0.3146353143396435,0.05921627421303455,2026-02-12
ALB,158.93,1.62,18705668096,117697540,65.943,Basic Materials,Albemarle Corporation,1.055,0.75,0.4149185605340487,0.08873249117906695,2026-02-12
ARE,50.4,4.68,8734339072,173300361,90.713,Real Estate,Alexandria Real Estate Equities,0.02109,0.01,1.7998609302665047,0.010000000000000002,2026-02-12
ALGN,183.86,0.0,13327343616,71749995,56.486,Healthcare,"Align Technology, Inc.",11.28662,0.08333850169492729,0.3041018776393196,0.06684446388151122,2026-02-12
ALLE,178.2,2.08,15330893824,86031953,22.627,Industrials,Allegion plc,8.18223,0.08243229535224494,0.12697531030340792,0.05841579093396121,2026-02-12
LNT,69.68,2.06,17911500800,257053689,28.426,Utilities,Alliant Energy Corporation,3.21211,0.06588504129684236,0.40795063714113783,0.06067212496050678,2026-02-12
ALL,206.56,4.32,54052974592,260100000,109.977,Financial Services,Allstate Corporation (The),25.0894,0.01,0.5292033956672132,0.07951758749080129,2026-02-12
GOOGL,309.0,0.84,3737973161984,5822000000,34.353,Communication Services,Alphabet Inc.,11.47575,0.15471145676753162,0.05350577902326204,0.06265178068851521,2026-02-12
GOOG,309.37,0.84,3742449008640,5438000000,34.353,Communication Services,Alphabet Inc.,11.51374,0.15944688693682507,0.049916943041499726,0.0637185967751338,2026-02-12
MO,67.01,4.24,112487792640,1674318297,-2.088,Consumer Defensive,"Altria Group, Inc.",5.58757,0.03959323999520348,,0.09197401267593286,2026-02-12
AMZN,199.6,0.0,2142690213888,10734920870,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.74283,0.21523783939464014,0.19191382691763875,0.07588428239418532,2026-02-12
