ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,140.64,1.02,39871500288,283054377,23.815,Healthcare,"Agilent Technologies, Inc.",5.94846,0.10333262726823422,0.16906662502197842,0.058566394140115,2025-12-09
AA,43.47,0.4,11257166848,258964032,24.501,Basic Materials,Alcoa Corporation,3.4545,0.04172818063395578,0.5636300708432034,0.06919040831544543,2025-12-09
AAL,15.03,0.0,9921099776,660086495,-6.002,Industrials,"American Airlines Group, Inc.",0.66235,0.75,,0.20042547000893862,2025-12-09
AAMI,46.44,0.04,1663105152,35709120,0.544,Financial Services,Acadian Asset Management Inc.,3.265,0.3588575803981624,0.011680416753347897,0.14587745679610775,2025-12-09
AAOI,30.38,0.0,2074342912,68279888,8.214,Technology,"Applied Optoelectronics, Inc.",0.73,0.04,0.2703752580094144,0.028422470403225125,2025-12-09
AAON,81.65,0.4,6665420800,81634058,10.578,Industrials,"AAON, Inc.",1.422,0.3980309423347399,0.12955297068776211,0.07549041691598554,2025-12-09
AAP,46.31,1.0,2779630080,60022245,36.583,Consumer Cyclical,Advance Auto Parts Inc.,1.81609,0.4719755078217489,0.7899589965708674,0.15312850981216114,2025-12-09
AAPL,277.18,1.04,4113459052544,14776353000,4.991,Technology,Apple Inc.,8.25916,0.10392582296504727,0.017928652474950374,0.04481375932621934,2025-12-09
AAT,19.02,1.36,1470903040,61152542,19.119,Real Estate,"American Assets Trust, Inc.",0.41,0.12195121951219523,0.794869150925135,0.04404144586052522,2025-12-09
AB,40.59,3.47,4486708736,90993251,12.934,Financial Services,AllianceBernstein Holding L.P.,3.32229,0.13488888688224088,0.2623095854185619,0.14162738756315812,2025-12-09
ABBV,222.99,6.92,394109091840,1767384632,-1.495,Healthcare,AbbVie Inc.,10.63934,0.3388762836792507,,0.1392224892666919,2025-12-09
ABCB,76.04,0.8,5215344128,68315144,58.794,Financial Services,Ameris Bancorp,5.96857,0.04834826432462047,0.7701352926592536,0.07130522814419626,2025-12-09
ABEV,2.47,0.18,39351267328,15592466967,1.1110042,Consumer Defensive,Ambev S.A.,0.18115,0.061330389180237255,0.44022206818157655,0.09988778013604865,2025-12-09
ABG,237.78,0.0,4674907136,19440558,199.48,Consumer Cyclical,Asbury Automotive Group Inc,28.17827,0.01,0.8295357313039896,0.07184029802519565,2025-12-09
ABL,7.64,0.2,746831808,97752855,4.448,Financial Services,"Abacus Global Management, Inc.",0.8375,0.18208955223880596,0.5821989561537262,0.14220869581647688,2025-12-09
ABM,44.66,1.06,2780443392,61233895,29.662,Industrials,ABM Industries Incorporated,3.64387,0.10619204307508223,0.6532482548344577,0.09739577034722424,2025-12-09
ABNB,125.39,0.0,76768231424,425294120,14.161,Consumer Cyclical,"Airbnb, Inc.",4.12492,0.16918146291322,0.07845159282173018,0.0594216843961789,2025-12-09
ABR,8.92,1.2,1890008832,195710635,12.078,Real Estate,Arbor Realty Trust,0.905,0.01,1.2506783087508873,0.1041391879055894,2025-12-09
ABT,121.25,2.36,211030654976,1738871947,29.303,Healthcare,Abbott Laboratories,5.15449,0.10102842376258359,0.24145385261082516,0.06286872257885723,2025-12-09
ACA,108.26,0.2,5309614592,49045025,52.646,Industrials,"Arcosa, Inc.",4.23333,0.14480326362461704,0.4862922423861683,0.062387548980422314,2025-12-09
ACAD,26.89,0.0,4549299200,169181817,5.423,Healthcare,ACADIA Pharmaceuticals Inc.,0.81527,0.01,0.20167347832189186,0.02743836630231046,2025-12-09
ACCO,3.61,0.3,325391456,90136133,7.148,Industrials,Acco Brands Corporation,0.84333,0.249012841947992,1.9800553050907397,0.26823326291833116,2025-12-09
ACEL,10.58,0.0,891828416,83207946,3.189,Consumer Cyclical,"Accel Entertainment, Inc.",0.9148,0.01,0.2975349686480499,0.05761693849768068,2025-12-09
ACGL,91.92,0.0,34306408448,362625938,62.577,Financial Services,Arch Capital Group Ltd.,9.2113,0.01,0.6614520245283473,0.06397453875026848,2025-12-09
ACHC,14.01,0.0,1293775744,90444261,34.505,Healthcare,"Acadia Healthcare Company, Inc.",2.08566,0.01,2.4121485043121975,0.0836967331274309,2025-12-09
ACI,17.23,0.6,9646154752,549307530,5.577,Consumer Defensive,"Albertsons Companies, Inc.",2.14643,0.07883788430090899,0.317586455284146,0.11761956562174991,2025-12-09
ACIC,12.19,0.0,594449024,48765302,7.416,Financial Services,American Coastal Insurance Corp,2.0,0.01,0.6083675219088257,0.08917694338243731,2025-12-09
ACIW,45.47,0.0,4692143616,103088006,14.325,Technology,"ACI Worldwide, Inc.",2.95,0.14983050847457613,0.3147251676002408,0.08677544957732375,2025-12-09
ACLS,88.95,0.0,2794707456,30999133,32.91,Technology,"Axcelis Technologies, Inc.",4.45714,0.02404007951287146,0.3650405214469789,0.04291526771780663,2025-12-09
ACM,100.26,1.24,13279046656,131833332,18.914,Industrials,AECOM,5.27234,0.15285433033529716,0.18777670611777994,0.08244154518406427,2025-12-09
ACMR,37.04,0.0,2403023872,59854640,22.083,Technology,"ACM Research, Inc.",1.8325,0.1350613915416099,0.5500444795914203,0.06978573144584466,2025-12-09
ACN,269.53,6.52,167877476352,620138892,50.165,Technology,Accenture plc,13.81377,0.07844201836283649,0.18530935890381808,0.06650734173266215,2025-12-09
ACNB,50.67,1.52,530394176,10384812,39.206,Financial Services,ACNB Corporation,4.96,0.015120967741935498,0.7676308634127988,0.0748226383807038,2025-12-09
