ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,137.93,1.02,39103209472.0,283498871.0,23.815,Healthcare,"Agilent Technologies, Inc.",5.94886,0.1029205595693965,0.17265911683539573,0.05930394223774693,2025-12-29
AA,53.77,0.4,13924496384.0,258964032.0,24.501,Basic Materials,Alcoa Corporation,3.52262,0.1755000539371263,0.4556629965678765,0.09755454150686338,2025-12-29
AAL,15.14,0.0,9993709568.0,660086495.0,-6.002,Industrials,"American Airlines Group, Inc.",0.62204,0.75,,0.19439394874968563,2025-12-29
AAMI,48.07,0.04,1721478656.0,35709120.0,0.544,Financial Services,Acadian Asset Management Inc.,3.25333,0.3678292703168753,0.011284346287009672,0.1453629357836274,2025-12-29
AAOI,36.75,0.0,2509285888.0,68279888.0,8.214,Technology,"Applied Optoelectronics, Inc.",0.846,0.04,0.22351020372533975,0.02757023064053299,2025-12-29
AAON,75.7,0.4,6179697664.0,81634058.0,10.578,Industrials,"AAON, Inc.",1.422,0.3980309423347399,0.13973581111491734,0.07931639801091728,2025-12-29
AAP,39.87,1.0,2393086720.0,60022245.0,36.583,Consumer Cyclical,Advance Auto Parts Inc.,1.81609,0.4719755078217489,0.9175571325869043,0.1669257322622043,2025-12-29
AAPL,273.76,1.04,4062705090560.0,14776353000.0,4.991,Technology,Apple Inc.,8.26741,0.105308675873097,0.01815262889604289,0.04553061890198673,2025-12-29
AAT,19.08,1.36,1475543040.0,61152542.0,19.119,Real Estate,"American Assets Trust, Inc.",0.41,0.12195121951219523,0.7923696014302639,0.0439183703710115,2025-12-29
AB,39.19,3.47,4331956224.0,90993251.0,12.934,Financial Services,AllianceBernstein Holding L.P.,3.32186,0.13804615486504557,0.271680194253505,0.14695124304307405,2025-12-29
ABBV,230.84,6.92,407983063040.0,1767384632.0,-1.495,Healthcare,AbbVie Inc.,10.64137,0.3393613792209085,,0.13633036109583363,2025-12-29
ABCB,75.86,0.8,5202998272.0,68315144.0,58.794,Financial Services,Ameris Bancorp,5.97,0.04881574539363487,0.771962696576502,0.07159231914864014,2025-12-29
ABEV,2.42,0.31,37733986304.0,15592556051.0,1.0687164,Consumer Defensive,Ambev S.A.,0.18009,0.06213559886723319,0.4416183393763638,0.101791422387426,2025-12-29
ABG,239.81,0.0,4714818048.0,19440558.0,199.48,Consumer Cyclical,Asbury Automotive Group Inc,28.201,0.01,0.8225137153458185,0.07146399057155367,2025-12-29
ABL,8.47,0.2,827966720.0,97752855.0,4.448,Financial Services,"Abacus Global Management, Inc.",0.8375,0.18208955223880596,0.5251475554959504,0.13368758552155258,2025-12-29
ABM,42.9,1.16,2626934272.0,60177625.0,29.673,Industrials,ABM Industries Incorporated,3.98861,0.0911771268687589,0.6797469908775091,0.10118554111006994,2025-12-29
ABNB,136.62,0.0,83643629568.0,425294120.0,14.161,Consumer Cyclical,"Airbnb, Inc.",4.12492,0.16938510322624434,0.07200297338153885,0.05606837784568934,2025-12-29
ABR,7.83,1.2,1659054848.0,195710635.0,12.078,Real Estate,Arbor Realty Trust,0.938,0.01,1.424782943360532,0.12287263933873782,2025-12-29
ABT,124.57,2.52,216808980480.0,1738871947.0,29.303,Healthcare,Abbott Laboratories,5.17128,0.09752131000448627,0.23501869964118657,0.061336875425113194,2025-12-29
ABTC,1.81,0.0,1678964992.0,195380091.0,0.625,Financial Services,American Bitcoin Corp.,0.04,0.04,0.07273085350608668,0.026776007697303823,2025-12-29
ACA,109.3,0.2,5360621056.0,49045025.0,52.646,Industrials,"Arcosa, Inc.",4.23333,0.14480326362461704,0.4816651576704921,0.061981553140301515,2025-12-29
ACAD,27.26,0.0,4611896320.0,169181817.0,5.423,Healthcare,ACADIA Pharmaceuticals Inc.,0.81464,0.01,0.19893617070537264,0.02715654819808614,2025-12-29
ACCO,3.75,0.3,338010496.0,90136133.0,7.148,Industrials,Acco Brands Corporation,0.84333,0.249012841947992,1.906133348841333,0.2624589177489136,2025-12-29
ACEL,11.61,0.0,978651008.0,83207946.0,3.189,Consumer Cyclical,"Accel Entertainment, Inc.",0.9148,0.01,0.2711386772454027,0.053871871164461876,2025-12-29
ACGL,96.39,0.0,35974705152.0,362625938.0,62.577,Financial Services,Arch Capital Group Ltd.,9.24887,0.01,0.63077774303772,0.0620502427968785,2025-12-29
ACHC,14.5,0.0,1339025536.0,90444261.0,34.505,Healthcare,"Acadia Healthcare Company, Inc.",2.08566,0.01,2.330634586049448,0.08182123273758235,2025-12-29
ACI,17.29,0.6,9679746048.0,549307530.0,5.577,Consumer Defensive,"Albertsons Companies, Inc.",2.14443,0.07829120092518771,0.3164843457275378,0.11706927867987227,2025-12-29
ACIC,12.48,0.0,608590976.0,48765302.0,7.416,Financial Services,American Coastal Insurance Corp,2.0,0.01,0.5942307623568839,0.08782741098662036,2025-12-29
ACIW,48.6,0.0,5015134720.0,103088006.0,14.325,Technology,"ACI Worldwide, Inc.",2.95,0.14983050847457613,0.29445583586436536,0.08328486726118622,2025-12-29
ACLS,81.82,0.0,2570691072.0,30999133.0,32.91,Technology,"Axcelis Technologies, Inc.",4.45714,0.02404007951287146,0.39685105617778405,0.04570254970495469,2025-12-29
ACM,97.27,1.24,12883032064.0,131833332.0,18.914,Industrials,AECOM,5.26492,0.15770230126953488,0.19354881902496834,0.08531770004026462,2025-12-29
ACMR,39.97,0.0,2593111808.0,59854640.0,22.083,Technology,"ACM Research, Inc.",1.8325,0.1350613915416099,0.5097234955477862,0.0663724838198555,2025-12-29
