ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,111.3,1.02,31480053760.0,282602317.0,24.436,Healthcare,"Agilent Technologies, Inc.",5.9664,0.09952232502011271,0.21936653192716785,0.06833025526970438,2026-03-20
AA,56.45,0.4,14893753344.0,263839742.0,23.253,Basic Materials,Alcoa Corporation,5.71588,0.01,0.4119220574575671,0.06642950743958018,2026-03-20
AAL,10.43,0.0,6886977024.0,660304573.0,-5.644,Industrials,"American Airlines Group, Inc.",1.65276,0.6161572158087079,,0.2946352244275673,2026-03-20
AAMI,50.83,0.4,1815778176.0,35722568.0,1.697,Financial Services,Acadian Asset Management Inc.,4.375,0.2518102857142859,0.033385794970585664,0.13610372261322762,2026-03-20
AAOI,87.54,0.0,6799681024.0,77675124.0,9.786,Technology,"Applied Optoelectronics, Inc.",0.815,0.75,0.11178888550522689,0.09305514997054243,2026-03-20
AAON,80.01,0.4,6531540992.0,81499853.0,10.956,Industrials,"AAON, Inc.",1.994,0.48545636910732215,0.13670776782411104,0.11012525471249646,2026-03-20
AAP,47.04,1.0,2827104000.0,60100000.0,36.633,Consumer Cyclical,Advance Auto Parts Inc.,2.75003,0.4231444747875477,0.7787627551020408,0.16700491511712612,2026-03-20
AAPL,247.99,1.04,3644938780672.0,14681140000.0,5.998,Technology,Apple Inc.,8.51688,0.09971139666168827,0.024158835859450365,0.04894621656572069,2026-03-20
AAT,18.33,1.36,1421903360.0,61390936.0,18.746,Real Estate,"American Assets Trust, Inc.",0.43,0.01,0.8093619570995316,0.026159108122950525,2026-03-20
AB,37.1,3.38,3423749888.0,92284367.0,13.419,Financial Services,AllianceBernstein Holding L.P.,3.62443,0.11110988486465478,0.36169812669826656,0.1479576394763749,2026-03-20
ABBV,205.07,6.92,362598432768.0,1768169012.0,-1.85,Healthcare,AbbVie Inc.,14.5364,0.10865964062628986,,0.09539248621387608,2026-03-20
ABCB,74.49,0.8,5088795136.0,67880297.0,60.122,Financial Services,Ameris Bancorp,6.49667,0.06670032493569789,0.8019775029579812,0.08266478830896273,2026-03-20
ABEO,4.45,0.0,241151536.0,54191361.0,2.893,Healthcare,Abeona Therapeutics Inc.,0.24,0.04,0.6501124146810328,0.0500003920223482,2026-03-20
ABEV,2.71,0.31,42321440768.0,15616768230.0,1.0693059,Consumer Defensive,Ambev S.A.,0.19108,0.10827925476240319,0.3945778334630339,0.1154265722696165,2026-03-20
ABG,185.08,0.0,3598058496.0,19257920.0,202.4,Consumer Cyclical,Asbury Automotive Group Inc,26.7988,0.10297214800662724,1.0833072926227378,0.12113021740331964,2026-03-20
