ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,115.07,1.02,32546357248.0,282602317.0,24.436,Healthcare,"Agilent Technologies, Inc.",5.96628,0.10080485662758032,0.2121795126130854,0.06707185452743458,2026-03-06
AA,59.65,0.4,15447204864.0,258964032.0,23.253,Basic Materials,Alcoa Corporation,4.99957,0.06554763709679023,0.38982396421307663,0.07878970124084061,2026-03-06
AAL,11.18,0.0,7382205440.0,660304573.0,-5.644,Industrials,"American Airlines Group, Inc.",2.10283,0.2830185987455003,,0.20497531557534632,2026-03-06
AAMI,51.18,0.4,1832853632.0,35709120.0,1.697,Financial Services,Acadian Asset Management Inc.,4.375,0.2518102857142859,0.0330623109134336,0.13559304679708972,2026-03-06
AAOI,95.58,0.0,7187503104.0,75198817.0,9.786,Technology,"Applied Optoelectronics, Inc.",0.898,0.75,0.10238543378888536,0.09353634261423627,2026-03-06
AAON,88.33,0.4,7210736128.0,81634058.0,10.956,Industrials,"AAON, Inc.",1.994,0.48545636910732215,0.12403487294106125,0.1039945386279465,2026-03-06
AAP,50.33,1.0,3024833024.0,60100000.0,36.633,Consumer Cyclical,Advance Auto Parts Inc.,2.75003,0.4215626738617395,0.7278561436388232,0.16045898173963768,2026-03-06
AAPL,257.46,1.04,3784127807488.0,14681140000.0,5.998,Technology,Apple Inc.,8.50302,0.09513678669460979,0.023270217656431322,0.04663300861711839,2026-03-06
AAT,19.09,1.36,1480858496.0,61390936.0,18.746,Real Estate,"American Assets Trust, Inc.",0.43,0.01,0.7771400774378917,0.025263095826281112,2026-03-06
AB,37.91,3.38,3498500352.0,92284367.0,13.419,Financial Services,AllianceBernstein Holding L.P.,3.62443,0.11110988486465478,0.35396992887682865,0.14540462563098677,2026-03-06
ABBV,230.11,6.92,406873374720.0,1768169012.0,-1.85,Healthcare,AbbVie Inc.,14.53097,0.10904984319697864,,0.08778410451028595,2026-03-06
ABCB,76.68,0.8,5238405120.0,68022316.0,60.122,Financial Services,Ameris Bancorp,6.49667,0.06670032493569789,0.7807028263121429,0.08106783697011244,2026-03-06
ABEV,2.92,0.31,45600256000.0,15616525320.0,1.0758424,Consumer Defensive,Ambev S.A.,0.19251,0.10939691444600297,0.3684391613926371,0.10955785666717055,2026-03-06
ABG,204.78,0.0,3981037568.0,19257920.0,202.4,Consumer Cyclical,Asbury Automotive Group Inc,26.7988,0.10297214800662724,0.9790922445271434,0.11435454652231114,2026-03-06
ABM,43.84,1.16,2568952576.0,58598372.0,29.673,Industrials,ABM Industries Incorporated,3.98861,0.09109439127916752,0.6768476415642481,0.09966948329616368,2026-03-06
ABNB,133.23,0.0,79873245184.0,423573275.0,13.62,Consumer Cyclical,"Airbnb, Inc.",4.94809,0.16233536576739716,0.07222779032215464,0.06308412727753893,2026-03-06
ABR,8.69,1.2,1841275392.0,195710635.0,11.866,Real Estate,Arbor Realty Trust,0.7,0.4238142857142857,1.2612466364347088,0.2519307064761279,2026-03-06
ABT,109.56,2.52,190380539904.0,1737682887.0,30.018,Healthcare,Abbott Laboratories,5.67774,0.09967346162381507,0.2739868524811871,0.07245089392949866,2026-03-06
ABTC,1.09,0.0,1011089472.0,195380091.0,0.625,Financial Services,American Bitcoin Corp.,0.015,0.3333333333333335,0.12077324535231636,0.05242058218291541,2026-03-06
ABX,9.83,0.2,960910592.0,97752855.0,4.448,Financial Services,"Abacus Global Management, Inc.",0.838,0.18138424821002386,0.4524923574159124,0.12194125305616332,2026-03-06
ACA,109.49,0.2,5369939456.0,49044022.0,53.906,Industrials,"Arcosa, Inc.",4.90775,0.09350924558096896,0.4923271615247053,0.05673905068019183,2026-03-06
