ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,120.96,1.02,,,24.436,Healthcare,"Agilent Technologies, Inc.",5.96965,0.10260065497977267,,0.0652145592212866,2026-04-20
AA,66.53,0.4,17554778112.0,263862592.0,23.253,Basic Materials,Alcoa Corporation,7.46028,0.01,0.34951150123520286,0.0709041358698822,2026-04-20
AAL,12.24,0.0,8082127872.0,660304573.0,-5.644,Industrials,"American Airlines Group, Inc.",2.39571,0.01,,0.0998117184408781,2026-04-20
AAMI,66.7,0.4,2382695168.0,35722568.0,1.697,Financial Services,Acadian Asset Management Inc.,4.54333,0.23551007741018148,0.0254422801162956,0.11501621955530716,2026-04-20
AAOI,163.47,0.0,12697552896.0,77675124.0,9.786,Technology,"Applied Optoelectronics, Inc.",0.815,0.75,0.05986419349380752,0.06385824211671992,2026-04-20
AAON,97.9,0.4,8012499456.0,81843712.0,10.956,Industrials,"AAON, Inc.",1.984,0.492943548387097,0.11191011164444314,0.09897228042222872,2026-04-20
AAP,57.27,1.0,3455053824.0,60329208.0,36.633,Consumer Cyclical,Advance Auto Parts Inc.,2.75016,0.42435712831253447,0.6396542540994001,0.15000474613639697,2026-04-20
AAPL,273.05,1.04,4013268402176.0,14681140000.0,5.998,Technology,Apple Inc.,8.51382,0.10006319137590403,0.021941586979892774,0.04559569280702702,2026-04-20
AAT,20.83,1.36,1615834624.0,61390936.0,18.746,Real Estate,"American Assets Trust, Inc.",0.46,0.01,0.7122229398743221,0.024836804367438403,2026-04-20
AB,38.85,3.38,3585247488.0,92284367.0,13.419,Financial Services,AllianceBernstein Holding L.P.,3.47143,0.09913493862759748,0.34540542177851463,0.13491243474636516,2026-04-20
ABBV,203.71,6.92,360314601472.0,1768762377.0,-1.85,Healthcare,AbbVie Inc.,14.32919,0.12301253594934525,,0.09972847931452622,2026-04-20
ABCB,85.43,0.8,5832222208.0,68269019.0,60.122,Financial Services,Ameris Bancorp,6.52333,0.06974965240145758,0.7037574725270138,0.07647181479960799,2026-04-20
ABEO,5.48,0.0,312628640.0,57049023.0,2.893,Healthcare,Abeona Therapeutics Inc.,0.24,0.04,0.5279197182286305,0.042850160936402995,2026-04-20
ABEV,3.07,0.28,47881850880.0,15596694040.0,1.1041838,Consumer Defensive,Ambev S.A.,0.18821,0.09941023325009302,0.3596689888969587,0.09948458761456463,2026-04-20
ABG,212.71,0.0,4104392704.0,19295721.0,202.4,Consumer Cyclical,Asbury Automotive Group Inc,26.3886,0.12088212334113968,0.9515302779370695,0.11689474008512127,2026-04-20
ABM,40.34,1.16,2363858432.0,58532820.0,29.426,Industrials,ABM Industries Incorporated,3.95851,0.09754175182076086,0.7286336347404412,0.1073297003079623,2026-04-20
ABNB,143.59,0.0,86084214784.0,423573275.0,13.62,Consumer Cyclical,"Airbnb, Inc.",4.92782,0.16322836467241086,0.06701656070135015,0.05998632300336457,2026-04-20
ABR,8.13,1.2,1701488384.0,192361203.0,11.866,Real Estate,Arbor Realty Trust,0.65,0.45846153846153825,1.3415066810106415,0.2637670753120783,2026-04-20
ABT,96.0,2.52,166817562624.0,1737674869.0,30.018,Healthcare,Abbott Laboratories,5.481,0.10587666484218206,0.31268604694346214,0.08012243265571095,2026-04-20
ABTC,1.26,0.0,1334492544.0,326896215.0,0.683,Financial Services,American Bitcoin Corp.,0.015,0.3333333333333335,0.16730712797822872,0.04735358135934675,2026-04-20
ABX,9.64,0.2,942337536.0,96542155.0,4.294,Financial Services,"Abacus Global Management, Inc.",0.982,0.14052953156822823,0.43991881648870235,0.12040265036270392,2026-04-20
ACA,114.44,0.2,5618841600.0,49098579.0,53.906,Industrials,"Arcosa, Inc.",4.565,0.17605038335158807,0.4710415754688653,0.06980520290197678,2026-04-20
ACAD,22.09,0.0,3766225920.0,170494613.0,7.207,Healthcare,ACADIA Pharmaceuticals Inc.,0.49038,0.75,0.3262562315674892,0.14651197391332882,2026-04-20
ACCO,3.32,0.3,,,,Industrials,Acco Brands Corporation,0.84,0.13095238095238093,,0.2246573277607843,2026-04-20
ACCS,8.4,0.0,32417370.0,3859211.0,7.881,Communication Services,ACCESS Newswire Inc.,0.715,0.5664335664335667,0.938214355174402,0.21527272536655817,2026-04-20
ACEL,11.81,0.0,963380096.0,81573250.0,3.277,Consumer Cyclical,"Accel Entertainment, Inc.",0.86949,0.11559649909717185,0.27747671076027713,0.0843728588161815,2026-04-20
ACGL,97.49,0.0,34733039616.0,356272841.0,65.371,Financial Services,Arch Capital Group Ltd.,9.3719,0.0760294070572669,0.6705405615661219,0.08688546174136602,2026-04-20
ACH,3.52,0.0,269061472.0,76437917.0,-6.035,Healthcare,"Accendra Health, Inc.",0.66905,0.5543531873552052,,0.2965415074760188,2026-04-20
ACHC,27.84,0.0,2567175936.0,92034218.0,21.547,Healthcare,"Acadia Healthcare Company, Inc.",1.47341,0.13747700911491023,0.7724680133671992,0.07348679938627539,2026-04-20
ACI,16.63,0.68,8546374656.0,506613121.0,3.603,Consumer Defensive,"Albertsons Companies, Inc.",2.29746,0.07148329024226752,0.21357910791817739,0.12400311309101231,2026-04-20
ACIC,11.93,0.0,580468608.0,48342811.0,6.59,Financial Services,American Coastal Insurance Corp,1.48,0.04391891891891886,0.5488309274599049,0.0896350710620758,2026-04-20
ACIU,2.98,0.0,303285248.0,101773573.0,0.5629806,Healthcare,AC Immune SA,0.6165134,0.04,0.18891966414299124,0.12017813243146425,2026-04-20
ACIW,45.15,0.0,4654423552.0,101719981.0,14.79,Technology,"ACI Worldwide, Inc.",3.34333,0.13260431964538344,0.32322767839715505,0.08934012449003215,2026-04-20
ACLS,131.02,0.0,4026240768.0,30729970.0,33.684,Technology,"Axcelis Technologies, Inc.",3.642,0.23887973640856663,0.2570905142352381,0.06535205442449377,2026-04-20
ACM,86.44,1.14,11175708672.0,129288624.0,17.264,Industrials,AECOM,5.94479,0.11354648355955366,0.19972235052334764,0.08576897859358856,2026-04-20
ACMR,49.69,0.0,3266003968.0,60705783.0,22.319,Technology,"ACM Research, Inc.",1.78667,0.27611702216973466,0.41484712941322427,0.08460900275946887,2026-04-20
ACN,195.06,6.52,120046772224.0,613939268.0,50.762,Technology,Accenture plc,13.87887,0.07423298870873496,0.25960535668601237,0.08405893818958698,2026-04-20
ACNB,51.36,1.52,533363936.0,10353502.0,40.49,Financial Services,ACNB Corporation,5.1125,0.011246943765281125,0.7859798304398294,0.07334456678374235,2026-04-20
ACNT,14.36,0.0,135986624.0,9243948.0,9.254,Basic Materials,Ascent Industries Co.,0.8,0.04,0.629058154955005,0.05119269313918605,2026-04-20
ACR,20.44,0.0,148919328.0,7131101.0,64.155,Real Estate,ACRES Commercial Realty Corp.,0.605,0.3388429752066118,3.0721048154004564,0.0869231819950621,2026-04-20
ACRE,5.38,0.6,297878080.0,55367672.0,9.273,Real Estate,Ares Commercial Real Estate Cor,0.47,0.32623404255319177,1.7236059211070516,0.22673987208184287,2026-04-20
ACT,43.13,0.84,6103493632.0,141186707.0,37.657,Financial Services,"Enact Holdings, Inc.",4.81,0.0513471933471934,0.8710859953427735,0.09364665745421685,2026-04-20
ACU,46.03,0.64,175292592.0,3808225.0,30.896,Consumer Defensive,Acme,1.72,0.05232558139534893,0.671214443563023,0.044376657268655806,2026-04-20
ACVA,5.1,0.0,935828032.0,174131983.0,2.481,Consumer Cyclical,ACV Auctions Inc.,0.19033,0.75,0.46164619465363477,0.18632001161703038,2026-04-20
AD,49.59,0.0,4286705920.0,53437077.0,29.725,Communication Services,"Array Digital Infrastructure, I",7.09,0.01,0.3705449227142225,0.08149499772973468,2026-04-20
ADAM,7.95,0.89,719271040.0,90474341.0,9.816,Real Estate,"Adamas Trust, Inc.",0.96005,0.141617624082079,1.2347169312641866,0.18952325458553532,2026-04-20
ADBE,248.63,0.0,101350768640.0,404200000.0,28.16,Technology,Adobe Inc.,23.48496,0.12278709437870017,0.11230572942599047,0.100384571371127,2026-04-20
ADC,79.56,3.2,9583105024.0,120103687.0,50.87,Real Estate,Agree Realty Corporation,1.91774,0.04248751134147488,0.6375464468341822,0.03348581382373983,2026-04-20
ADEA,29.52,0.2,3267974144.0,110703732.0,4.409,Technology,Adeia Inc.,1.43625,0.042067885117493375,0.14935636968980864,0.0487011382631939,2026-04-20
ADI,381.05,4.07,186030194688.0,488204157.0,69.207,Technology,"Analog Devices, Inc.",11.46209,0.14592277673617993,0.18162183375749838,0.055784656702540736,2026-04-20
