ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,145.99,3.12,76143607808,521567261,6.256,Industrials,3M Company,8.69088,0.08698888950255901,0.04285224825495046,0.07447096495201325,2026-04-24
AXP,314.08,0.0,214202548224,682000000,48.796,Financial Services,American Express Company,17.60304,0.14414271625810082,0.15536169983000847,0.07785700569143061,2026-04-24
AMGN,344.55,0.0,185735757824,539067675,16.069,Healthcare,Amgen Inc.,22.33178,0.045782736530630475,0.04663764571269698,0.05877925538231643,2026-04-24
AMZN,263.99,0.0,2839014801408,10754251799,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.75772,0.231972796130822,0.1451039879074204,0.06649027063324237,2026-04-24
AAPL,271.06,0.0,3979469914112,14681140000,5.998,Technology,Apple Inc.,8.52269,0.10157004419965987,0.022127941565214627,0.04498815780463283,2026-04-24
BA,232.44,0.0,183233003520,788302331,7.591,Industrials,Boeing Company (The),4.38078,0.04,0.03265788847895976,0.023838088852319236,2026-04-24
CAT,830.79,6.04,386556035072,465287332,45.817,Industrials,"Caterpillar, Inc.",22.98545,0.21396927186546266,0.05514871779526943,0.06423826633308372,2026-04-24
CVX,185.21,7.12,368919576576,1991898801,94.155,Energy,Chevron Corporation,11.80186,0.01,0.5083688790625047,0.05649781729710146,2026-04-24
CSCO,89.01,0.0,351579996160,3949893042,12.085,Technology,"Cisco Systems, Inc.",4.15766,0.08515847856727121,0.13577125528736453,0.05584299513972313,2026-04-24
KO,76.63,2.06,329827254272,4304152877,7.478,Consumer Defensive,Coca-Cola Company (The),3.22542,0.07065126402142963,0.09758579619276296,0.057472179192965656,2026-04-24
DIS,102.6,1.5,181757935616,1771519851,61.079,Communication Services,Walt Disney Company (The),6.63831,0.10473147533031746,0.5953118944299014,0.08077107411966022,2026-04-24
GS,926.91,0.0,275063242752,294993942,359.766,Financial Services,"Goldman Sachs Group, Inc. (The)",59.2344,0.10338975325148914,0.3858341429983754,0.07397826171043598,2026-04-24
HD,335.89,9.32,334555742208,996027658,12.864,Consumer Cyclical,"Home Depot, Inc. (The)",15.09466,0.0799143538178404,0.038298251011773,0.06288925844843071,2026-04-24
HON,213.17,4.76,135075831808,633653119,21.886,Industrials,Honeywell International Inc.,10.52158,0.08965763697087303,0.10266923384300526,0.06728360732366634,2026-04-24
IBM,231.98,0.0,218034585600,939885280,34.845,Technology,International Business Machines,12.41309,0.08174112972676428,0.15020691552890955,0.06050791239273112,2026-04-24
JNJ,227.5,5.36,547641851904,2407216971,33.865,Healthcare,Johnson & Johnson,11.57529,0.0980666575092286,0.14885714530306807,0.07142588900231284,2026-04-24
JPM,308.28,6.0,826036256768,2679500000,128.38,Financial Services,JP Morgan Chase & Co.,22.28066,0.05520348140494935,0.41643960199269314,0.07288107434829227,2026-04-24
MCD,299.36,7.44,212793360384,710827631,-2.519,Consumer Cyclical,McDonald's Corporation,13.20737,0.08728081366691476,,0.06298547008503508,2026-04-24
MRK,111.9,3.4,276379500544,2469879206,21.258,Healthcare,"Merck & Company, Inc.",5.10939,0.75,0.18997317839348643,0.25082902003073315,2026-04-24
MSFT,424.62,3.64,3155936149504,7425629076,52.615,Technology,Microsoft Corporation,16.62906,0.13634324489778749,0.1237982821341756,0.06335917471486671,2026-04-24
NKE,44.69,0.0,66180841472,1199499281,9.517,Consumer Cyclical,"Nike, Inc.",1.49976,0.25082679895449944,0.1724915308323295,0.07614099183426892,2026-04-24
NVDA,208.27,0.04,5062002737152,24300000000,6.472,Technology,NVIDIA Corporation,8.33967,0.3476768265410981,0.03106865171086089,0.10559227787340497,2026-04-24
PG,148.18,4.26,346257129472,2324000685,22.493,Consumer Defensive,Procter & Gamble Company (The),6.94298,0.03736435939610949,0.15096800313517328,0.052544489237702385,2026-04-24
CRM,178.16,1.76,145744461824,818053744,63.662,Technology,"Salesforce, Inc.",13.20107,0.13121436368415584,0.35733047279297764,0.09334586721815696,2026-04-24
SHW,337.7,0.0,83673538560,247362348,18.671,Basic Materials,Sherwin-Williams Company (The),11.72201,0.13986338520441466,0.05519669036341995,0.05586983358838149,2026-04-24
TRV,302.73,5.0,64373927936,212644693,150.452,Financial Services,"The Travelers Companies, Inc.",28.05309,0.013073069668974036,0.49698411106811724,0.06684392333136865,2026-04-24
UNH,354.92,8.84,322343043072,908213180,103.874,Healthcare,UnitedHealth Group Incorporated,18.33133,0.12762903728207387,0.2926687511547995,0.08089055746465401,2026-04-24
VZ,46.38,0.0,193868398592,4180000000,24.77,Communication Services,Verizon Communications Inc.,4.91147,0.06980191266565816,0.5340664118131965,0.09015981691957925,2026-04-24
V,309.42,0.0,596574011392,1681093942,20.034,Financial Services,Visa Inc.,12.86341,0.1312902255311772,0.05645407843939417,0.061360079143478186,2026-04-24
WMT,129.92,0.99,1035774525440,7972402501,12.501,Consumer Defensive,Walmart Inc.,2.91617,0.1255722403014914,0.09622075192732112,0.04097091912783879,2026-04-24
