ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
AA,63.17,0.4,16668199936.0,263862592.0,25.89,Basic Materials,Alcoa Corporation,7.13122,0.01,0.4098464461135679,0.0713219320953421,2026-04-29
AAL,11.64,0.0,7698523648.0,661385137.0,-6.164,Industrials,"American Airlines Group, Inc.",2.20132,0.04,,0.11399908359744079,2026-04-29
AAON,88.08,0.4,7208794112.0,81843712.0,10.956,Industrials,"AAON, Inc.",1.984,0.492943548387097,0.12438692168768656,0.10530267010845012,2026-04-29
ACI,16.56,0.68,8189496832.0,494534842.0,3.603,Consumer Defensive,"Albertsons Companies, Inc.",2.28786,0.07597929943265758,0.21757246779358666,0.12599330907901068,2026-04-29
ACM,81.06,1.14,10480135168.0,129288624.0,17.264,Industrials,AECOM,5.9411,0.11363720523135457,0.21297805504945183,0.08951201964524935,2026-04-29
ADC,76.85,3.2,9229903872.0,120102859.0,50.567,Real Estate,Agree Realty Corporation,1.94,0.03052577319587635,0.6579961563280082,0.032441844954353635,2026-04-29
AEIS,369.08,0.4,14035230720.0,38027612.0,36.053,Industrials,"Advanced Energy Industries, Inc",8.71932,0.2330296399260492,0.09768343127287044,0.058186180498809636,2026-04-29
AFG,131.37,3.52,10915046400.0,83086295.0,57.778,Financial Services,"American Financial Group, Inc.",11.08286,0.08520183418359517,0.4398112272349113,0.09364420110668542,2026-04-29
AGCO,115.26,1.2,8345264128.0,72403814.0,58.84,Industrials,AGCO Corporation,5.81977,0.40044709670657097,0.5104979723129501,0.14081010020776896,2026-04-29
AHR,50.32,1.0,9654906880.0,191870178.0,17.861,Real Estate,"American Healthcare REIT, Inc.",0.73667,0.3257903810389997,0.35494834821835175,0.06353557110592856,2026-04-29
AIT,301.24,2.04,11236986880.0,37302440.0,48.709,Industrials,Applied Industrial Technologies,10.66,0.09045872420262668,0.16169499611981392,0.048911579086105106,2026-04-29
ALGM,41.12,0.0,7619160064.0,185290870.0,5.198,Technology,"Allegro MicroSystems, Inc.",0.53033,0.75,0.1264105143046907,0.11128438248645095,2026-04-29
ALK,39.79,0.0,4508611584.0,111359830.0,33.504,Industrials,"Alaska Air Group, Inc.",6.49666,0.04,0.827527427192983,0.10440072460615124,2026-04-29
ALLY,44.41,1.2,13651989504.0,307408000.0,43.216,Financial Services,Ally Financial Inc.,5.32589,0.21414449040442074,0.9731141475099687,0.1601198751500682,2026-04-29
ALV,114.88,3.29,8600299520.0,74863338.0,35.184,Consumer Cyclical,"Autoliv, Inc.",10.48231,0.13964860798812473,0.3062674361592467,0.11733307512558355,2026-04-29
AM,21.86,0.9,10384143360.0,475029397.0,4.16,Energy,Antero Midstream Corporation,1.29646,0.14254199898184283,0.19030190772712907,0.10082644910287308,2026-04-29
AMG,292.47,0.04,7766279168.0,26554106.0,109.405,Financial Services,"Affiliated Managers Group, Inc.",33.53245,0.12286904177893354,0.3740725647489369,0.112455560211285,2026-04-29
AMH,31.48,1.23,11452291072.0,363160711.0,19.183,Real Estate,American Homes 4 Rent,0.60459,0.1133826229345507,0.6083072701623523,0.038501668371156456,2026-04-29
AMKR,71.36,0.33,17683810304.0,247811238.0,18.079,Technology,"Amkor Technology, Inc.",1.72021,0.3329477214991192,0.25334921008446937,0.07890176500267568,2026-04-29
AN,200.97,0.0,6898393600.0,34325487.0,66.509,Consumer Cyclical,"AutoNation, Inc.",21.3006,0.11431696759715693,0.3309399183721555,0.10472490020930211,2026-04-29
ANF,85.23,0.0,3828912896.0,44738525.0,31.194,Consumer Cyclical,Abercrombie & Fitch Company,10.73821,0.11040853177578014,0.3644829712130385,0.11440600418977176,2026-04-29
APG,48.7,0.0,21011912704.0,431456087.0,8.194,Industrials,APi Group Corporation,1.28666,0.4789299426421898,0.16825460997679578,0.10720562622263652,2026-04-29
APPF,168.78,0.0,5967813120.0,24028908.0,15.076,Technology,"AppFolio, Inc.",6.8052,0.20864339034855695,0.06070227229367397,0.07636006492602687,2026-04-29
AR,38.55,0.0,11943768064.0,309825363.0,24.475,Energy,Antero Resources Corporation,4.2998,0.08123633657379403,0.6348897365380889,0.09700310830729542,2026-04-29
ARMK,45.43,0.48,11940639744.0,262835999.0,12.206,Industrials,Aramark,2.21819,0.18009277834630932,0.26867707866373425,0.08464066654045166,2026-04-29
ARW,184.02,0.0,9400491008.0,51084070.0,128.935,Technology,"Arrow Electronics, Inc.",13.8275,0.158199240643645,0.7006575039372667,0.0971095326757066,2026-04-29
ASB,28.15,0.94,5300897280.0,188308952.0,29.459,Financial Services,Associated Banc-Corp,2.96229,0.09416026114931375,1.0465008325850826,0.11246718871890027,2026-04-29
ASH,57.0,1.66,2608456448.0,45762391.0,41.038,Basic Materials,Ashland Inc.,3.87574,0.2219266514265663,0.7199648678427925,0.1255499090393718,2026-04-29
