ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
MMM,158.32,3.12,82574532608,521567261,6.256,Industrials,3M Company,8.68768,0.0875285461711297,forecast_icc,0.07026196259691508,0.03951490467776357,2026-06-12
AXP,325.44,3.8,222056333312,682326443,49.846,Financial Services,American Express Company,17.67543,0.13935898589171547,forecast_icc,0.08025022946021862,0.15316493508874857,2026-06-12
AMGN,355.2,10.08,191704383488,539708274,17.028,Healthcare,Amgen Inc.,22.40688,0.047763008504530635,forecast_icc,0.06756220882681607,0.04793918804807752,2026-06-12
AMZN,238.55,0.0,2566108479488,10757109436,41.093,Consumer Cyclical,"Amazon.com, Inc.",8.64727,0.14141688648556117,forecast_icc,0.057879728156467844,0.17226157880190082,2026-06-12
AAPL,291.13,1.08,4275929874432,14687356000,7.26,Technology,Apple Inc.,8.75705,0.1039139893000498,forecast_icc,0.04510809633181824,0.02493731368177884,2026-06-12
BA,219.05,0.0,172677627904,788302331,7.591,Industrials,Boeing Company (The),4.18143,0.04,forecast_icc,0.02406430136383688,0.034654188080159416,2026-06-12
CAT,910.57,6.52,419401236480,460591983,40.511,Industrials,"Caterpillar, Inc.",24.59182,0.2239451980373961,forecast_icc,0.06508180511301387,0.04448971581466187,2026-06-12
CVX,187.22,7.12,372866908160,1991597732,92.906,Energy,Chevron Corporation,14.5437,0.01,forecast_icc,0.06434254967526576,0.4962397435649979,2026-06-12
CSCO,121.1,1.68,477307731968,3941434665,12.401,Technology,"Cisco Systems, Inc.",4.27693,0.1158307477559839,forecast_icc,0.05682160010222581,0.10240297402922,2026-06-12
KO,82.62,2.12,355471097856,4302482418,7.816,Consumer Defensive,Coca-Cola Company (The),3.26737,0.06614188169689994,forecast_icc,0.05351997804633346,0.09460179120585116,2026-06-12
DIS,100.04,1.5,173720616960,1736511424,62.297,Communication Services,Walt Disney Company (The),6.8254,0.09752395464002106,forecast_icc,0.08147524055664246,0.6227208610814272,2026-06-12
GS,1062.75,18.0,313519144960,295007421,356.271,Financial Services,"Goldman Sachs Group, Inc. (The)",59.36404,0.10165834400758422,forecast_icc,0.07385938786672325,0.33523499466197004,2026-06-12
HD,328.39,9.32,327443152896,997116682,13.916,Consumer Cyclical,"Home Depot, Inc. (The)",14.96387,0.07639935391045216,forecast_icc,0.06272503411593389,0.042376441907518374,2026-06-12
HON,220.31,4.76,139600117760,633653119,21.447,Industrials,Honeywell International Inc.,10.51866,0.08893528263105765,forecast_icc,0.06539170750705503,0.09734919039650672,2026-06-12
IBM,272.24,6.76,255874367488,939885280,35.083,Technology,International Business Machines,12.4254,0.08025979042928211,forecast_icc,0.06246267025263219,0.12886791124080224,2026-06-12
JNJ,240.87,5.36,579826352128,2407216971,33.735,Healthcare,Johnson & Johnson,11.57426,0.09876052551091807,forecast_icc,0.06856297573948411,0.14005480126704897,2026-06-12
JPM,320.72,6.0,859372847104,2679511418,128.379,Financial Services,JP Morgan Chase & Co.,22.30846,0.05573132345307563,forecast_icc,0.0710174587249785,0.4002837621535795,2026-06-12
MCD,284.81,7.44,202359177216,710505859,-1.81,Consumer Cyclical,McDonald's Corporation,12.98565,0.09503413383234571,forecast_icc,0.06694333590084967,,2026-06-12
MRK,119.05,3.4,294032605184,2469824415,18.576,Healthcare,"Merck & Company, Inc.",2.73657,0.75,forecast_icc,0.18994716685411162,0.1560352747421651,2026-06-12
MSFT,390.74,3.64,2902586556416,7428434704,55.777,Technology,Microsoft Corporation,16.81556,0.15047610665359934,forecast_icc,0.07096698179925498,0.14274709623013399,2026-06-12
NKE,44.93,1.64,66536255488,1199499281,9.52,Consumer Cyclical,"Nike, Inc.",1.50016,0.22956884598976113,forecast_icc,0.09214276203174487,0.17162422308510417,2026-06-12
NVDA,205.19,1.0,4969906831360,24221000000,8.07,Technology,NVIDIA Corporation,8.96014,0.4204186541728141,forecast_icc,0.13094534653677525,0.03932940327304124,2026-06-12
PG,149.61,4.26,348381708288,2328598978,23.081,Consumer Defensive,Procter & Gamble Company (The),6.89769,0.027171415357895246,forecast_icc,0.04864061334499181,0.1542744401689051,2026-06-12
CRM,165.89,1.76,135863910400,819000000,41.801,Technology,"Salesforce, Inc.",14.14748,0.0984712471761755,forecast_icc,0.09160277017277185,0.2519802271199755,2026-06-12
SHW,317.3,3.2,78257479680,246635621,18.071,Basic Materials,Sherwin-Williams Company (The),11.73183,0.12877786330009888,forecast_icc,0.05996238624626181,0.056952413051324584,2026-06-12
TRV,304.46,5.0,64741797888,212644693,150.452,Financial Services,"The Travelers Companies, Inc.",28.1072,0.015682814367848685,forecast_icc,0.06794496761194402,0.49416019318125737,2026-06-12
UNH,408.52,9.28,370995134464,908144404,107.798,Healthcare,UnitedHealth Group Incorporated,18.38872,0.1366555149026143,forecast_icc,0.07584409629919542,0.2638744861272338,2026-06-12
VZ,48.11,2.83,200886140928,4175558910,24.77,Communication Services,Verizon Communications Inc.,4.97301,0.06016476942535798,forecast_icc,0.11027255834817007,0.5148617705676871,2026-06-12
V,322.39,2.68,613103173632,1659709932,18.642,Financial Services,Visa Inc.,13.14344,0.13088734760458443,forecast_icc,0.06371650159694997,0.05046509932260627,2026-06-12
WMT,121.04,0.99,963245899776,7958079155,12.501,Consumer Defensive,Walmart Inc.,2.90912,0.13025932240677585,forecast_icc,0.044086893598289545,0.10327990759139458,2026-06-12
