ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
MMM,158.23,3.12,82527584256.0,521567261.0,6.256,Industrials,3M Company,8.6933,0.08885003393417912,forecast_icc,0.0706910432566431,0.039537383945402176,2026-06-15
AOS,60.02,1.42,8272474112.0,111965465.0,13.625,Industrials,A.O. Smith Corporation,3.76959,0.10668534243777184,forecast_icc,0.08381602928606002,0.1844103033712824,2026-06-15
AAON,131.26,0.4,10751730688.0,81911710.0,11.413,Industrials,"AAON, Inc.",2.26,0.45663716814159305,forecast_icc,0.08316701313327746,0.08694956871207674,2026-06-15
ABT,88.67,2.52,154446561280.0,1741813154.0,29.889,Healthcare,Abbott Laboratories,5.48325,0.1050599553184699,forecast_icc,0.08474520261762308,0.33708133692613085,2026-06-15
ABBV,221.59,6.92,391503609856.0,1766792821.0,-3.767,Healthcare,AbbVie Inc.,14.25584,0.14027514337983593,forecast_icc,0.09889830181828463,,2026-06-15
ACHC,24.99,0.0,2298255872.0,91967027.0,21.576,Healthcare,"Acadia Healthcare Company, Inc.",1.50721,0.1604952196442433,forecast_icc,0.08561065369428633,0.863385404004311,2026-06-15
ACN,165.36,6.52,101768355840.0,613939268.0,50.762,Technology,Accenture plc,13.85417,0.07239408784503154,forecast_icc,0.09442429117176479,0.30623256969202894,2026-06-15
AYI,302.53,0.74,9171248128.0,30315168.0,93.756,Industrials,Acuity Inc.,19.51632,0.09025472015215974,forecast_icc,0.07182992674140054,0.30990644363122394,2026-06-15
ADBE,206.36,0.0,83410714624.0,404200000.0,28.652,Technology,Adobe Inc.,24.33014,0.12498325122666776,forecast_icc,0.11489226161637645,0.13884473298431285,2026-06-15
ADT,6.7,0.22,5095693824.0,705806827.0,4.767,Industrials,ADT Inc.,0.91384,0.05974787709008145,forecast_icc,0.11453382289523961,0.6602792986623915,2026-06-15
WMS,136.79,0.8,10477527040.0,76595708.0,25.583,Industrials,"Advanced Drainage Systems, Inc.",6.26119,0.16964187319024004,forecast_icc,0.076668675186637,0.18702390270939354,2026-06-15
AMD,547.26,0.0,892362489856.0,1630600639.0,39.547,Technology,"Advanced Micro Devices, Inc.",7.3672,0.75,forecast_icc,0.11384076087442663,0.0722636419656534,2026-06-15
ACM,69.59,1.19,8943909888.0,128522920.0,17.711,Industrials,AECOM,5.99369,0.12113072247647105,forecast_icc,0.10212923209285918,0.25450496087556285,2026-06-15
AES,14.68,0.7,10469154816.0,713157713.0,6.198,Utilities,The AES Corporation,2.02,0.17799009900990104,forecast_icc,0.17007760434966512,0.4222071010372955,2026-06-15
AMG,352.93,0.04,9321616384.0,26412085.0,116.596,Financial Services,"Affiliated Managers Group, Inc.",34.86718,0.12570101740375916,forecast_icc,0.1040148765102897,0.33036582238525214,2026-06-15
AFRM,71.9,0.0,24079206400.0,294357801.0,11.299,Financial Services,"Affirm Holdings, Inc.",3.10274,0.21728536712712,forecast_icc,0.08154831847198482,0.138125349243196,2026-06-15
AFL,116.96,2.44,59530874880.0,508984904.0,58.686,Financial Services,AFLAC Incorporated,7.042,0.07976285146265272,forecast_icc,0.07266256631021106,0.5017612816266409,2026-06-15
AGCO,112.54,1.2,8148855808.0,72408527.0,59.341,Industrials,AGCO Corporation,5.98687,0.3512235942988575,forecast_icc,0.1321859840698998,0.5272880637412549,2026-06-15
A,130.59,1.02,36882784256.0,282431944.0,25.236,Healthcare,"Agilent Technologies, Inc.",6.05878,0.09037793087057122,forecast_icc,0.05942675431216993,0.19324605456337055,2026-06-15
ADC,74.47,3.2,8969947136.0,120102859.0,50.567,Real Estate,Agree Realty Corporation,1.90286,0.0265862964169723,forecast_icc,0.03196091208071883,0.6770654474292992,2026-06-15
AGNC,10.46,1.44,12007340032.0,1147929272.0,8.898,Real Estate,AGNC Investment Corp.,1.56681,0.01,forecast_icc,0.14588542457680453,0.8506692269090894,2026-06-15
