ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
AAPL,315.34,1.08,4602128760832,14594180000,7.36,,Apple Inc.,8.81228,0.08563391086075356,forecast_icc,0.03944742221180557,0.02333988690498551,2026-09-09
ABBV,250.91,6.92,443387412480,1767117285,-3.359,Healthcare,AbbVie Inc.,16.27952,0.75,forecast_icc,0.27538670061635295,,2026-09-09
ABT,105.23,2.52,183291002880,1741813154,29.537,,Abbott Laboratories,5.51886,0.09893528736007062,forecast_icc,0.07318677386166217,0.2806899101500404,2026-09-09
ACN,175.8,6.52,107579416576,611942109,52.121,Technology,Accenture plc,13.86199,0.057219057292639874,forecast_icc,0.08470351362096717,0.29647897040468335,2026-09-09
ADBE,254.86,0.0,101306851328,397500000,28.867,Technology,Adobe Inc.,24.41188,0.12642533061771566,forecast_icc,0.10231495087897355,0.11326610539743968,2026-09-09
AMAT,468.85,2.12,372078149632,793597443,32.291,Technology,"Applied Materials, Inc.",12.79594,0.44357116397857443,forecast_icc,0.10661228649329535,0.06887277594037215,2026-09-09
AMD,521.095,0.0,850674515968,1632475042,41.191,Technology,"Advanced Micro Devices, Inc.",15.61176,0.75,forecast_icc,0.1687181765119209,0.07904701292068742,2026-09-09
AMGN,391.27,10.08,211533070336,540632005,21.62,Healthcare,Amgen Inc.,23.04146,0.05891900947249007,forecast_icc,0.06724190806515862,0.055255965081648914,2026-09-09
AMT,175.43,6.98,81743372288,465960048,7.983,Real Estate,American Tower Corporation (REI,6.98352,0.01,forecast_icc,0.04093820978461313,0.04550532916697473,2026-09-09
AMZN,252.4,0.0,2722465316864,10786313572,51.156,Consumer Cyclical,"Amazon.com, Inc.",12.56855,0.01,forecast_icc,0.038421540660785625,0.2026783054576545,2026-09-09
AVGO,364.38,2.6,1733567184896,4757580198,20.917,Technology,Broadcom Inc.,11.63847,0.6658461120748689,forecast_icc,0.16660821245461072,0.05740435436745768,2026-09-09
AXP,321.8,3.8,217314689024,675309833,50.785,Financial Services,American Express Company,17.68032,0.1398300483249173,forecast_icc,0.08099859859858427,0.15781542436423812,2026-09-09
BA,206.42,0.0,163028975616,789792534,7.716,Industrials,Boeing Company (The),4.12084,0.04,forecast_icc,0.02487111565575162,0.037380098656192,2026-09-09
BAC,62.67,1.28,438235529216,6992748365,39.342,Financial Services,Bank of America Corporation,4.67288,0.1315997842872061,forecast_icc,0.09878334181300474,0.6277644961101109,2026-09-09
BKNG,173.43,1.68,134387163136,774878436,-14.226,Consumer Cyclical,Booking Holdings Inc. Common St,10.44865,0.18456547018035807,forecast_icc,0.09642912612388399,,2026-09-09
BLK,1072.03,22.92,174179352576,154869259,371.704,Financial Services,"BlackRock, Inc.",56.28456,0.14213151883926955,forecast_icc,0.0839259692015869,0.3304956769902927,2026-09-09
BMY,64.41,2.52,131571253248,2042714656,10.925,Healthcare,Bristol-Myers Squibb Company,6.94908,0.01,forecast_icc,0.0798083655470353,0.16961651626693186,2026-09-09
