ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,163.2,2.92,86925164544,531225048,8.712,Industrials,3M Company,8.03797,0.07542700457951446,0.05324157443306731,0.06163886825068243,2025-12-16
AOS,67.94,1.38,9520404480,113372121,13.247,Industrials,A.O. Smith Corporation,3.79741,0.08644839509033764,0.1577496512928619,0.07101990397028776,2025-12-16
ABT,126.86,2.52,220794634240,1738871947,29.303,Healthcare,Abbott Laboratories,5.15449,0.10102842376258359,0.23077628149040386,0.06120351346362274,2025-12-16
ABBV,223.67,6.92,395310891008,1767384632,-1.495,Healthcare,AbbVie Inc.,10.64137,0.3396639718382126,,0.13918556713853436,2025-12-16
ACN,272.04,6.52,179642400768,660352923,50.165,Technology,Accenture plc,13.77317,0.07905660062280506,0.18440303759398374,0.06607666131002643,2025-12-16
ADBE,347.89,0.0,147574947840,418600000,27.873,Technology,Adobe Inc.,23.46429,0.12207315882986447,0.07906245586242723,0.08157454980798307,2025-12-16
AMD,209.17,0.0,340537442304,1628041540,37.34,Technology,"Advanced Micro Devices, Inc.",3.96585,0.6241965782871264,0.1785150868941202,0.1136288047311167,2025-12-16
AES,13.62,0.7,9699087360,712120944,5.427,Utilities,The AES Corporation,2.15591,0.07312457384584703,0.39845814555979003,0.13885412646837503,2025-12-16
AFL,109.49,2.44,58558697472,524113917,54.57,Financial Services,AFLAC Incorporated,7.57422,0.01,0.4884141499965158,0.05477439404202167,2025-12-16
A,139.19,1.02,39460421632,283054377,23.815,Healthcare,"Agilent Technologies, Inc.",5.94935,0.1028297208938791,0.17082787536128372,0.05889765354618437,2025-12-16
APD,242.25,7.16,53922852864,222591758,67.501,Basic Materials,"Air Products and Chemicals, Inc",12.98553,0.0684515764855187,0.2786419015079432,0.06760411529842913,2025-12-16
ABNB,132.01,0.0,80821223424,425294120,14.161,Consumer Cyclical,"Airbnb, Inc.",4.12492,0.16918146291322,0.07451743215670727,0.0573702846485552,2025-12-16
AKAM,87.74,0.0,12622735360,143865237,32.914,Technology,"Akamai Technologies, Inc.",7.03576,0.03982654325900836,0.3751310849487698,0.06607118770904818,2025-12-16
ALB,131.07,1.62,15426617344,117697540,65.943,Basic Materials,Albemarle Corporation,0.90562,0.04,0.5031128151524855,0.011227939868760313,2025-12-16
ARE,46.97,4.68,8117593088,172825059,97.683,Real Estate,Alexandria Real Estate Equities,3.44,0.04,2.079689146189561,0.09069659499862726,2025-12-16
ALGN,162.89,0.0,11807304704,71749995,54.934,Healthcare,"Align Technology, Inc.",10.1919,0.07457883220989214,0.33381998043928857,0.06535825413856891,2025-12-16
ALLE,159.67,2.04,13736721408,86031953,22.627,Industrials,Allegion plc,8.18208,0.0868593316124997,0.14171103443921573,0.06444415840374856,2025-12-16
LNT,65.26,2.03,16775324672,257053689,28.426,Utilities,Alliant Energy Corporation,3.21594,0.06669900557846242,0.4355807298150396,0.06418060984968132,2025-12-16
ALL,209.51,4.0,55206998016,261681708,97.344,Financial Services,Allstate Corporation (The),28.63667,0.01,0.4614115075804233,0.08513486952069804,2025-12-16
