ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,143.99,3.12,75839537152,526700000,8.867,Industrials,3M Company,8.66393,0.08452630619130108,0.061580661952613705,0.07436258074016877,2026-03-26
AOS,65.61,1.4,9073202176,112376652,13.411,Industrials,A.O. Smith Corporation,4.01101,0.08296912747662066,0.16610268907690212,0.07450310009988184,2026-03-26
ABT,104.57,2.52,181709504512,1737674869,30.018,Healthcare,Abbott Laboratories,5.47333,0.11875768499250006,0.28705996616812784,0.07868300063562195,2026-03-26
ABBV,211.12,6.92,373295808512,1768169012,-1.85,Healthcare,AbbVie Inc.,14.5364,0.10865964062628986,,0.09339365032861402,2026-03-26
ACN,196.42,6.52,120883765248,613939268,50.762,Technology,Accenture plc,13.87887,0.07557675805018715,0.25780786243942394,0.08406897690511381,2026-03-26
ADBE,240.88,0.0,98881241088,407636918,27.885,Technology,Adobe Inc.,23.54754,0.11926638621274233,0.11495563095040347,0.10136346927546691,2026-03-26
AMD,203.77,0.0,332228820992,1630410843,38.65,Technology,"Advanced Micro Devices, Inc.",6.63741,0.6189176199752613,0.18967463115870792,0.14845811615543225,2026-03-26
AES,14.01,0.7,9990133760,713071623,5.705,Utilities,The AES Corporation,2.29304,0.04102850364581512,0.40720912321548336,0.12510562930978397,2026-03-26
AFL,108.21,2.44,56714366976,515183672,56.855,Financial Services,AFLAC Incorporated,7.35322,0.056591534049028835,0.516461158491905,0.0716389282508347,2026-03-26
A,113.48,1.02,32096645120,282602317,24.436,Healthcare,"Agilent Technologies, Inc.",5.96865,0.10083184639742648,0.2151523996478047,0.06775601633338069,2026-03-26
APD,293.17,7.24,65276063744,222656008,69.216,Basic Materials,"Air Products and Chemicals, Inc",13.04119,0.0762254058103593,0.23609509161226913,0.060293421266473524,2026-03-26
ABNB,131.06,0.0,78572298240,423573275,13.62,Consumer Cyclical,"Airbnb, Inc.",4.95448,0.16254985386962906,0.07342368919741045,0.06387916802015303,2026-03-26
AKAM,117.25,0.0,16988131328,144888114,34.395,Technology,"Akamai Technologies, Inc.",6.87495,0.10525022000159989,0.29334754863922374,0.07040417744753424,2026-03-26
