ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,148.32,1.02,42048782336,283054377,23.815,Healthcare,"Agilent Technologies, Inc.",5.94661,0.10234234294833544,0.16031237086463154,0.056112089885295924,2025-12-04
AA,44.01,0.4,11397006336,258964032,24.501,Basic Materials,Alcoa Corporation,3.4545,0.015675206252713902,0.5567144178897472,0.05874135922174957,2025-12-04
AAL,14.34,0.0,9465639936,660086495,-6.002,Industrials,"American Airlines Group, Inc.",0.70878,0.75,,0.21057365812712658,2025-12-04
AAMI,46.41,0.04,1662030848,35709120,0.544,Financial Services,Acadian Asset Management Inc.,3.265,0.3588575803981624,0.011687966744646127,0.1459252055970982,2025-12-04
AAOI,26.24,0.0,1791664256,68279888,8.214,Technology,"Applied Optoelectronics, Inc.",0.73,0.04,0.313033537479915,0.03147563560997757,2025-12-04
AAON,86.845,0.4,7089509888,81634058,10.578,Industrials,"AAON, Inc.",1.422,0.3980309423347399,0.12180321054148446,0.07247384582809369,2025-12-04
AAP,52.5,1.0,3151167744,60022245,36.583,Consumer Cyclical,Advance Auto Parts Inc.,1.81868,0.4821134009281456,0.6968190738230025,0.1448565234666187,2025-12-04
AAPL,280.7,1.04,4165697536000,14776353000,4.991,Technology,Apple Inc.,8.24844,0.10183501365106595,0.017703824434122335,0.04395616018682713,2025-12-04
AAT,18.88,1.36,1460076160,61152542,19.119,Real Estate,"American Assets Trust, Inc.",0.41,0.12195121951219523,0.8007633317552421,0.0443313806725073,2025-12-04
AB,41.58,3.47,4596141056,90993251,12.934,Financial Services,AllianceBernstein Holding L.P.,3.32229,0.13488888688224088,0.25606409683567377,0.13892394971629007,2025-12-04
ABBV,228.71,6.92,404218544128,1767384632,-1.495,Healthcare,AbbVie Inc.,10.63934,0.3388762836792507,,0.13699290819405474,2025-12-04
ABCB,76.81,0.8,5268155392,68315144,58.794,Financial Services,Ameris Bancorp,5.96857,0.04834826432462047,0.7624149778184827,0.07080087481582564,2025-12-04
ABEV,2.58,0.18,41103749120,15592466967,5.902,Consumer Defensive,Ambev S.A.,0.18115,0.061330389180237255,2.2388892013370194,0.09609046981909486,2025-12-04
ABG,233.9,0.0,4598623744,19440558,199.48,Consumer Cyclical,Asbury Automotive Group Inc,28.17827,0.01,0.8432963264063031,0.07264994511858491,2025-12-04
ABL,6.94,0.2,678404800,97752855,4.448,Financial Services,"Abacus Global Management, Inc.",0.8375,0.18208955223880596,0.6409222031447891,0.150547324767971,2025-12-04
ABM,44.29,1.06,2757408000,61233895,29.662,Industrials,ABM Industries Incorporated,3.64387,0.10619204307508223,0.658705492074441,0.09794799596066739,2025-12-04
ABNB,120.82,0.0,73970311168,425294120,14.161,Consumer Cyclical,"Airbnb, Inc.",4.12492,0.16898024688963664,0.08141901714650902,0.06089585936327681,2025-12-04
ABR,8.96,1.2,1898484224,195710635,12.078,Real Estate,Arbor Realty Trust,0.905,0.01,1.245094912903527,0.10367611499260632,2025-12-04
ABT,125.4,2.36,218253557760,1738871947,29.303,Healthcare,Abbott Laboratories,5.15449,0.10102842376258359,0.23346315719156413,0.061251690377233284,2025-12-04
ACA,107.16,0.2,5255665152,49045025,52.646,Industrials,"Arcosa, Inc.",4.23333,0.14480326362461704,0.491284035697638,0.0628234157639734,2025-12-04
ACAD,26.55,0.0,4491777536,169181817,5.423,Healthcare,ACADIA Pharmaceuticals Inc.,0.81527,0.01,0.20425610712858777,0.02768846964480169,2025-12-04
ACCO,3.56,0.3,320884640,90136133,7.148,Industrials,Acco Brands Corporation,0.84333,0.249012841947992,2.0078651277418578,0.2703821035520092,2025-12-04
ACEL,10.41,0.0,877498432,83207946,3.189,Consumer Cyclical,"Accel Entertainment, Inc.",0.9072,0.01,0.3023938620485193,0.057942652659777605,2025-12-04
ACGL,92.39,0.0,34481823744,362625938,62.577,Financial Services,Arch Capital Group Ltd.,9.2113,0.01,0.6580870980228973,0.063746131698729,2025-12-04
ACHC,14.64,0.0,1351954176,90444261,34.505,Healthcare,"Acadia Healthcare Company, Inc.",2.08566,0.01,2.308346896074827,0.0813027468544284,2025-12-04
ACI,17.66,0.6,9886888960,549307530,5.577,Consumer Defensive,"Albertsons Companies, Inc.",2.14643,0.07883788430090899,0.3098535957270425,0.11568970349492058,2025-12-04
ACIC,12.2,0.0,594936704,48765302,7.416,Financial Services,American Coastal Insurance Corp,2.0,0.01,0.607868832432971,0.0891296133775098,2025-12-04
ACIW,46.35,0.0,4782952448,103088006,14.325,Technology,"ACI Worldwide, Inc.",2.95,0.14983050847457613,0.30874981551771424,0.08575992300053625,2025-12-04
ACLS,89.1,0.0,2799420416,30999133,32.91,Technology,"Axcelis Technologies, Inc.",4.45714,0.02404007951287146,0.36442595803016387,0.04286047666737469,2025-12-04
ACM,105.16,1.24,13928033280,131833332,18.914,Industrials,AECOM,5.3558,0.14706673139400261,0.17902711684560252,0.07913590654484681,2025-12-04
ACMR,34.62,0.0,2246022656,59854640,22.083,Technology,"ACM Research, Inc.",1.8325,0.1350613915416099,0.5884936252041083,0.07291988779592662,2025-12-04
ACN,269.34,6.52,167759134720,620138892,50.165,Technology,Accenture plc,13.83545,0.07974659299119291,0.1854400809178184,0.06698053503754198,2025-12-04
ACNB,49.44,1.52,517519008,10384812,39.206,Financial Services,ACNB Corporation,4.955,0.01,0.7867284736950184,0.07331198639489711,2025-12-04
ACNT,15.06,0.0,141082112,9364814,9.291,Basic Materials,Ascent Industries Co.,0.8,0.04,0.6167223161076579,0.04945025138805956,2025-12-04
ACR,22.97,0.0,170582432,7285680,61.39,Real Estate,ACRES Commercial Realty Corp.,1.9,0.75,2.622004446507129,0.2605567828300933,2025-12-04
ACRE,5.15,0.6,283386240,55026453,9.488,Real Estate,Ares Commercial Real Estate Cor,0.34,0.04,1.8423300512544292,0.08238500633940682,2025-12-04
ACT,37.92,0.84,5593412608,144395767,36.528,Financial Services,"Enact Holdings, Inc.",4.48026,0.034926544441617136,0.9429822090063841,0.09106434085087486,2025-12-04
ACTG,3.83,0.0,369443232,96460378,5.573,Industrials,Acacia Research Corporation,0.04,0.01,1.4550914458056712,0.011882183476154516,2025-12-04
ACVA,7.89,0.0,1431804928,172171225,2.523,Consumer Cyclical,ACV Auctions Inc.,0.16929,0.4595073542441963,0.30338490403282087,0.09200982590815365,2025-12-04
ADAM,7.47,0.83,674642368,90307776,9.416,Real Estate,"Adamas Trust, Inc.",0.91121,0.09255824672687973,1.260427834286269,0.16591838120659552,2025-12-04
ADBE,328.73,0.0,139447271424,418600000,28.024,Technology,Adobe Inc.,20.7988,0.12107381195068956,0.08412388625612811,0.07808895973644991,2025-12-04
ADC,74.38,3.14,8574675456,114934390,50.009,Real Estate,Agree Realty Corporation,1.8421,0.07015905759730745,0.6703173710776535,0.039205872486328716,2025-12-04
