ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,115.48,1.02,32662323200.0,282602317.0,24.436,Healthcare,"Agilent Technologies, Inc.",5.96865,0.10083184639742648,0.211426179819689,0.06692824288655308,2026-04-03
AA,71.53,0.4,18874091520.0,263862592.0,23.253,Basic Materials,Alcoa Corporation,5.80436,0.01,0.32508038043973625,0.05648582432461681,2026-04-03
AAL,10.84,0.0,7157701632.0,660304573.0,-5.644,Industrials,"American Airlines Group, Inc.",0.7897,0.75,,0.24752010033488825,2026-04-03
AAMI,55.28,0.4,1974743552.0,35722568.0,1.697,Financial Services,Acadian Asset Management Inc.,4.60333,0.22447662887518383,0.030698263495836448,0.12566560180269504,2026-04-03
AAOI,103.91,0.0,8071222784.0,77675124.0,9.786,Technology,"Applied Optoelectronics, Inc.",0.815,0.75,0.09417764616420232,0.08430487519815466,2026-04-03
AAON,81.36,0.4,6641746944.0,81499853.0,10.956,Industrials,"AAON, Inc.",1.994,0.48545636910732215,0.13443938725708848,0.10907079874408832,2026-04-03
AAP,51.83,1.0,3114983168.0,60100000.0,36.633,Consumer Cyclical,Advance Auto Parts Inc.,2.74224,0.4314100881031566,0.7067913954134085,0.16029184322597,2026-04-03
AAPL,255.92,1.04,3761492983808.0,14681140000.0,5.998,Technology,Apple Inc.,8.51202,0.09962030164402802,0.023410246436470494,0.04777322283270424,2026-04-03
AAT,18.67,1.36,1448278016.0,61390936.0,18.746,Real Estate,"American Assets Trust, Inc.",0.46,0.01,0.7946226301456196,0.027279517664343174,2026-04-03
AB,38.63,3.38,3564945152.0,92284367.0,13.419,Financial Services,AllianceBernstein Holding L.P.,3.57586,0.10063313440682786,0.3473725030743474,0.13787244213252514,2026-04-03
ABBV,208.84,6.92,369388322816.0,1768762377.0,-1.85,Healthcare,AbbVie Inc.,14.5364,0.10865964062628986,,0.09413584455628754,2026-04-03
ABCB,78.4,0.8,5355907584.0,67880297.0,60.122,Financial Services,Ameris Bancorp,6.52333,0.06974965240145758,0.7619808878752304,0.08105467831211474,2026-04-03
