ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
A,153.56,1.02,43298672640.0,281965813.0,26.113,Healthcare,"Agilent Technologies, Inc.",6.20237,0.0881276028356901,forecast_icc,0.05313060191581431,0.17005078506880067,2026-08-31
AA,49.95,0.4,13182276608.0,263909445.0,27.926,Basic Materials,Alcoa Corporation,6.49824,0.01,forecast_icc,0.07894476337177359,0.5590790862784177,2026-08-31
AADX,13.2,0.0,2275594496.0,172393518.0,4.802,Industrials,"Applied Aerospace & Defense, In",0.4,0.04,forecast_icc,0.03335924488198394,0.36378786945176367,2026-08-31
AAL,13.43,0.0,8890256384.0,661969951.0,-6.001,Industrials,"American Airlines Group, Inc.",0.00053,0.75,forecast_icc,0.010000000000000002,,2026-08-31
AAME,1.39,0.02,28352146.0,20397228.0,5.365,Financial Services,Atlantic American Corporation,0.23,0.04,trailing_eps_fallback_icc,0.11053467314340637,3.859712355459795,2026-08-31
AAMI,94.2,0.4,3343170048.0,35490128.0,2.592,Financial Services,Acadian Asset Management Inc.,5.375,0.21178232558139531,forecast_icc,0.09741655557779441,0.027515923645891675,2026-08-31
AAOI,107.69,0.0,9143558144.0,84906289.0,19.767,Technology,"Applied Optoelectronics, Inc.",0.68,0.75,forecast_icc,0.07404235011331639,0.18355464997664261,2026-08-31
AAON,75.97,0.4,6264003072.0,82453639.0,12.255,Industrials,"AAON, Inc.",2.368,0.4898648648648649,forecast_icc,0.12482344368232356,0.1613136734338115,2026-08-31
AAP,42.18,1.0,2544686080.0,60329208.0,37.617,Consumer Cyclical,Advance Auto Parts Inc.,2.99215,0.3009675317079692,forecast_icc,0.1479084915958232,0.891820737800397,2026-08-31
AAPL,316.85,1.08,4624166158336.0,14594180000.0,7.36,Technology,Apple Inc.,8.81249,0.0815637804979068,forecast_icc,0.038703826778728856,0.02322865596132741,2026-08-31
AAT,22.46,1.36,1742277632.0,61390936.0,18.276,Real Estate,"American Assets Trust, Inc.",0.39,0.01,forecast_icc,0.02015314268253332,0.6439735698426277,2026-08-31
ABBV,256.42,6.92,453124259840.0,1767117285.0,-3.359,Healthcare,AbbVie Inc.,14.0106,0.162121536550897,forecast_icc,0.0944064578915661,,2026-08-31
ABCB,84.25,0.8,5653785088.0,67107239.0,61.163,Financial Services,Ameris Bancorp,6.63571,0.05920391337174169,forecast_icc,0.07468297170130167,0.7259703004397254,2026-08-31
ABEV,2.87,0.16,44255391744.0,15419998554.0,1.1096244,Consumer Defensive,Ambev S.A.,0.20052,0.0692200279273889,forecast_icc,0.0917680860148131,0.3866287466724976,2026-08-31
ABG,211.4,0.0,3795034880.0,17951917.0,218.546,Consumer Cyclical,Asbury Automotive Group Inc,26.39582,0.14724679892498127,forecast_icc,0.12598962091840404,1.0338033184775366,2026-08-31
ABM,46.63,1.16,2731628544.0,58580923.0,29.846,Industrials,ABM Industries Incorporated,3.97749,0.09490910096568439,forecast_icc,0.09666033897285009,0.6400600226917237,2026-08-31
ABNB,183.22,0.0,109709508608.0,419529556.0,13.219,Consumer Cyclical,"Airbnb, Inc.",5.2918,0.1690048754677047,forecast_icc,0.05430218936986442,0.05054950360391646,2026-08-31
ABR,5.01,0.94,1015668608.0,186558043.0,11.346,Real Estate,Arbor Realty Trust,0.2725,0.75,forecast_icc,0.30304967868941446,2.08403364956417,2026-08-31
ABT,110.36,2.52,192226492416.0,1741813154.0,29.537,Healthcare,Abbott Laboratories,5.51886,0.09893528736007062,forecast_icc,0.07059331277270597,0.2676422717965368,2026-08-31
ABTC,8.07,0.0,983085056.0,24004726.0,9.229,Financial Services,American Bitcoin Corp.,0.02,0.04,forecast_icc,0.010000000000000002,0.2253514229535801,2026-08-31
ABUS,5.08,0.0,1006377152.0,198105743.0,1.309,Healthcare,Arbutus Biopharma Corporation,1.027,0.01,forecast_icc,0.10186196101697934,0.2576771710999655,2026-08-31
ABX,9.6,0.2,938805632.0,97792249.0,4.477,Financial Services,"Abacus Global Management, Inc.",1.02,0.12908823529411761,forecast_icc,0.11928903883627939,0.4663541460017573,2026-08-31
ACA,145.3,0.2,7135219200.0,49106809.0,60.76,Industrials,"Arcosa, Inc.",4.29167,0.19289227736522152,forecast_icc,0.060125925553366905,0.41816931354260284,2026-08-31
ACAD,28.91,0.0,4950429184.0,171235870.0,7.591,Healthcare,ACADIA Pharmaceuticals Inc.,0.59933,0.4849248327298816,forecast_icc,0.09458619524121026,0.26257349430856947,2026-08-31
ACCL,2.93,0.0,40873208.0,13949900.0,0.415,Industrials,Acco Group Holdings Limited,0.04,0.01,trailing_eps_fallback_icc,0.014861846232367637,0.1416382217906654,2026-08-31
ACCO,4.28,0.3,395076416.0,92307568.0,7.488,Industrials,Acco Brands Corporation,0.88,0.09469318181818176,forecast_icc,0.17791001258326988,1.7495325997490065,2026-08-31
ACCS,5.45,0.0,20858806.0,3827304.0,7.59,Communication Services,ACCESS Newswire Inc.,0.445,0.7303370786516854,forecast_icc,0.2541180054867366,1.3926606038715734,2026-08-31
ACEL,11.64,0.0,947413312.0,81392900.0,3.495,Consumer Cyclical,"Accel Entertainment, Inc.",0.82822,0.30400135229769876,forecast_icc,0.13200342353823669,0.30025774590340565,2026-08-31
ACFN,19.14,0.0,48514424.0,2534714.0,3.496,Technology,"Acorn Energy, Inc.",0.61,0.01,trailing_eps_fallback_icc,0.02842880913197099,0.18265413486100546,2026-08-31
ACGL,98.07,0.0,33441869824.0,341000000.0,68.318,Financial Services,Arch Capital Group Ltd.,9.37453,0.040831913706607104,forecast_icc,0.07470729273043031,0.6966248634602663,2026-08-31
ACH,1.21,0.0,93054696.0,76904704.0,-7.164,Healthcare,"Accendra Health, Inc.",0.14973,0.04,forecast_icc,0.08793549820539079,,2026-08-31
ACHC,27.56,0.0,2565843456.0,93100275.0,21.78,Healthcare,"Acadia Healthcare Company, Inc.",1.55206,0.17401389121554578,forecast_icc,0.08532478175658331,0.7902757998576824,2026-08-31
ACI,12.35,0.68,6048763904.0,489778423.0,3.3,Consumer Defensive,"Albertsons Companies, Inc.",1.79259,0.03179756664937328,forecast_icc,0.11501260655722556,0.26720646094835576,2026-08-31
ACIC,9.47,0.0,447642336.0,47269517.0,7.302,Financial Services,American Coastal Insurance Corp,0.93,0.17204301075268824,forecast_icc,0.1174865653905649,0.7710665086288889,2026-08-31
ACIU,2.64,0.0,262487104.0,99426932.0,0.43966445,Healthcare,AC Immune SA,0.6165738,0.04,forecast_icc,0.12891432954409743,0.1665395621606134,2026-08-31
ACIW,53.28,0.0,5378894848.0,100955241.0,14.786,Technology,"ACI Worldwide, Inc.",3.59,0.08356545961002793,forecast_icc,0.07117201158856867,0.27751503526435917,2026-08-31
ACLS,115.33,0.0,3561562112.0,30881489.0,34.514,Technology,"Axcelis Technologies, Inc.",4.106,0.2830004870920604,forecast_icc,0.08549612455796274,0.2992629856867705,2026-08-31
ACM,67.43,1.24,8677999616.0,128696425.0,17.042,Industrials,AECOM,4.00115,0.5983929620234183,forecast_icc,0.2129011651111815,0.252736180214415,2026-08-31
ACMR,72.82,0.0,5071854592.0,64657388.0,26.71,Technology,"ACM Research, Inc.",2.15375,0.3431224608241439,forecast_icc,0.08770083208249935,0.3405063773326726,2026-08-31
ACN,189.76,6.52,116122124288.0,611942109.0,52.121,Technology,Accenture plc,13.86199,0.057219057292639874,forecast_icc,0.07984253501325903,0.27466802608678265,2026-08-31
ACNB,64.99,1.6,663680704.0,10212044.0,41.621,Financial Services,ACNB Corporation,5.6625,0.01,forecast_icc,0.06495254587807497,0.640421637637366,2026-08-31
ACNT,15.17,0.0,137109728.0,9038215.0,8.835,Basic Materials,Ascent Industries Co.,0.8,0.01,forecast_icc,0.039855821709013584,0.5823994452457816,2026-08-31
ACP,5.07,0.93,636136384.0,125470678.0,5.648,Financial Services,Aberdeen Income Credit Strategi,0.66,0.04,trailing_eps_fallback_icc,0.15391794927550084,1.1140038632721878,2026-08-31
ACR,13.93,0.0,99336240.0,7131101.0,58.414,Real Estate,ACRES Commercial Realty Corp.,0.24,0.75,forecast_icc,0.12929301267283833,4.1933954195769845,2026-08-31
ACRE,4.57,0.6,253548688.0,55481113.0,8.836,Real Estate,Ares Commercial Real Estate Cor,0.39,0.01,forecast_icc,0.08764883323367278,1.9334792001290102,2026-08-31
ACT,48.2,0.96,6626712576.0,137483671.0,39.061,Financial Services,"Enact Holdings, Inc.",4.84291,0.03410965721023107,forecast_icc,0.08130954642731514,0.8103942356547138,2026-08-31
ACU,62.32,0.64,238923856.0,3833823.0,31.64,Consumer Defensive,Acme,2.64,0.01,forecast_icc,0.03630721412387505,0.5077021681752868,2026-08-31
ACV,26.2,2.16,272375936.0,10396028.0,,Financial Services,568516,5.18,0.04,trailing_eps_fallback_icc,0.15314937335343803,,2026-08-31
ACVA,7.03,0.0,1227331840.0,174584894.0,2.305,Consumer Cyclical,ACV Auctions Inc.,0.2033,0.6855386128873584,forecast_icc,0.1532097626018737,0.3278805026927355,2026-08-31
AD,36.66,0.0,3170318336.0,53473077.0,14.634,Communication Services,"Array Digital Infrastructure, I",6.487,0.01,forecast_icc,0.09362181038563111,0.24682852820556628,2026-08-31
ADAM,9.74,1.2,875429056.0,89879786.0,10.369,Real Estate,"Adamas Trust, Inc.",1.23025,0.014468603942288105,forecast_icc,0.13119625043138228,1.0645791279676238,2026-08-31
ADBE,292.79,0.0,116384030720.0,397500000.0,28.867,Technology,Adobe Inc.,24.41188,0.12610704296432718,forecast_icc,0.09411939876940834,0.09859284327079199,2026-08-31
ADC,72.25,3.2,9011657728.0,124381214.0,51.09,Real Estate,Agree Realty Corporation,1.91571,0.01,forecast_icc,0.02903712044092111,0.705157299030077,2026-08-31
ADEA,25.23,0.2,2782368256.0,110280150.0,4.328,Technology,Adeia Inc.,1.42375,0.13134328358208935,forecast_icc,0.07839527446867997,0.1715418108910455,2026-08-31
ADI,362.14,4.4,175480553472.0,484565465.0,69.239,Technology,"Analog Devices, Inc.",12.84498,0.27184160660429213,forecast_icc,0.09070259043795736,0.19119399595744058,2026-08-31
ADIG,21.87,0.0,1660440448.0,75923198.0,32.335,Technology,ADI Global Distribution Inc.,1.60803,0.13933197763723304,forecast_icc,0.09078013184774156,1.478509277635954,2026-08-31
