ticker,date
A,2026-01-02
AA,2026-01-02
AAL,2026-01-02
AAMI,2026-01-02
AAOI,2026-01-02
AAON,2026-01-02
AAP,2026-01-02
AAPL,2026-01-02
AAT,2026-01-02
AB,2026-01-02
ABBV,2026-01-02
ABCB,2026-01-02
ABEV,2026-01-02
ABG,2026-01-02
ABM,2026-01-02
ABNB,2026-01-02
ABR,2026-01-02
ABT,2026-01-02
ABTC,2026-01-02
ABX,2026-01-02
ACA,2026-01-02
ACAD,2026-01-02
ACCO,2026-01-02
ACEL,2026-01-02
ACGL,2026-01-02
ACHC,2026-01-02
ACI,2026-01-02
ACIC,2026-01-02
ACIW,2026-01-02
ACLS,2026-01-02
ACM,2026-01-02
ACMR,2026-01-02
ACN,2026-01-02
ACNB,2026-01-02
ACNT,2026-01-02
ACR,2026-01-02
ACRE,2026-01-02
ACT,2026-01-02
ACTG,2026-01-02
ACVA,2026-01-02
ADAM,2026-01-02
ADBE,2026-01-02
ADC,2026-01-02
ADEA,2026-01-02
ADI,2026-01-02
ADM,2026-01-02
ADMA,2026-01-02
ADNT,2026-01-02
ADP,2026-01-02
ADSE,2026-01-02
ADSK,2026-01-02
ADT,2026-01-02
ADTN,2026-01-02
ADUS,2026-01-02
ADV,2026-01-02
AEBI,2026-01-02
AEE,2026-01-02
AEG,2026-01-02
AEHR,2026-01-02
AEIS,2026-01-02
AEM,2026-01-02
AENT,2026-01-02
AEO,2026-01-02
AEP,2026-01-02
AER,2026-01-02
AERO,2026-01-02
AES,2026-01-02
AEYE,2026-01-02
AFCG,2026-01-02
AFG,2026-01-02
AFL,2026-01-02
AFRM,2026-01-02
AFYA,2026-01-02
AG,2026-01-02
AGCO,2026-01-02
AGEN,2026-01-02
AGI,2026-01-02
AGM,2026-01-02
AGNC,2026-01-02
AGO,2026-01-02
AGRO,2026-01-02
AGX,2026-01-02
AGYS,2026-01-02
AHCO,2026-01-02
AHH,2026-01-02
AHL,2026-01-02
AHR,2026-01-02
AIFU,2026-01-02
AIG,2026-01-02
AII,2026-01-02
AIN,2026-01-02
AIOT,2026-01-02
AIR,2026-01-02
AIRG,2026-01-02
AIRJ,2026-01-02
AISP,2026-01-02
AIT,2026-01-02
AIZ,2026-01-02
AJG,2026-01-02
AKAM,2026-01-02
AKBA,2026-01-02
AKO-B,2026-01-02
AKR,2026-01-02
AL,2026-01-02
ALAB,2026-01-02
ALAR,2026-01-02
ALB,2026-01-02
ALC,2026-01-02
ALDX,2026-01-02
ALEX,2026-01-02
ALG,2026-01-02
ALGM,2026-01-02
ALGN,2026-01-02
ALGT,2026-01-02
ALH,2026-01-02
ALHC,2026-01-02
ALIT,2026-01-02
ALK,2026-01-02
ALKS,2026-01-02
ALKT,2026-01-02
ALL,2026-01-02
ALLE,2026-01-02
ALLT,2026-01-02
ALLY,2026-01-02
ALM,2026-01-02
ALNT,2026-01-02
ALNY,2026-01-02
ALOT,2026-01-02
ALRM,2026-01-02
ALRS,2026-01-02
ALSN,2026-01-02
ALTG,2026-01-02
ALTI,2026-01-02
ALV,2026-01-02
ALVO,2026-01-02
ALX,2026-01-02
AM,2026-01-02
AMAL,2026-01-02
AMAT,2026-01-02
AMBA,2026-01-02
AMBP,2026-01-02
AMCR,2026-01-02
AMCX,2026-01-02
AMD,2026-01-02
AME,2026-01-02
AMG,2026-01-02
AMGN,2026-01-02
AMH,2026-01-02
AMKR,2026-01-02
AMN,2026-01-02
AMP,2026-01-02
AMPG,2026-01-02
AMPH,2026-01-02
AMPL,2026-01-02
AMPY,2026-01-02
AMR,2026-01-02
AMRC,2026-01-02
AMRN,2026-01-02
AMRX,2026-01-02
AMRZ,2026-01-02
AMSC,2026-01-02
AMSF,2026-01-02
AMT,2026-01-02
AMTB,2026-01-02
AMTM,2026-01-02
AMWD,2026-01-02
AMX,2026-01-02
AMZN,2026-01-02
AN,2026-01-02
ANDE,2026-01-02
